Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.2773E-3	6.3726E-1
1.0000E-6	9.2773E-3	6.3911E-1
2.0000E-6	9.2773E-3	6.3994E-1
3.0000E-6	9.2773E-3	6.4092E-1
4.0000E-6	9.5215E-3	6.4272E-1
5.0000E-6	9.2773E-3	6.4282E-1
6.0000E-6	1.0254E-2	6.4551E-1
7.0000E-6	9.5215E-3	6.5112E-1
8.0000E-6	9.7656E-3	6.5835E-1
9.0000E-6	1.0254E-2	6.6279E-1
1.0000E-5	9.5215E-3	6.6602E-1
1.1000E-5	9.2773E-3	6.6504E-1
1.2000E-5	9.7656E-3	6.6069E-1
1.3000E-5	9.7656E-3	6.5420E-1
1.4000E-5	9.5215E-3	6.4824E-1
1.5000E-5	9.5215E-3	6.4229E-1
1.6000E-5	9.2773E-3	6.3784E-1
1.7000E-5	8.7891E-3	6.3535E-1
1.8000E-5	9.5215E-3	6.3638E-1
1.9000E-5	9.2773E-3	6.3784E-1
2.0000E-5	1.0010E-2	6.3994E-1
2.1000E-5	9.2773E-3	6.4043E-1
2.2000E-5	9.5215E-3	6.3906E-1
2.3000E-5	9.5215E-3	6.3237E-1
2.4000E-5	9.5215E-3	6.2593E-1
2.5000E-5	1.0010E-2	6.2168E-1
2.6000E-5	9.5215E-3	6.1831E-1
2.7000E-5	9.7656E-3	6.1460E-1
2.8000E-5	9.7656E-3	6.0996E-1
2.9000E-5	9.7656E-3	6.0356E-1
3.0000E-5	9.2773E-3	5.9438E-1
3.1000E-5	1.0010E-2	5.8140E-1
3.2000E-5	9.7656E-3	5.6738E-1
3.3000E-5	9.7656E-3	5.5493E-1
3.4000E-5	9.7656E-3	5.4268E-1
3.5000E-5	9.2773E-3	5.3057E-1
3.6000E-5	9.2773E-3	5.2241E-1
3.7000E-5	1.0254E-2	5.1553E-1
3.8000E-5	9.5215E-3	5.1040E-1
3.9000E-5	9.7656E-3	5.0620E-1
4.0000E-5	9.7656E-3	5.0142E-1
4.1000E-5	9.7656E-3	4.9766E-1
4.2000E-5	9.5215E-3	4.9604E-1
4.3000E-5	9.7656E-3	4.9355E-1
4.4000E-5	9.2773E-3	4.9126E-1
4.5000E-5	9.7656E-3	4.8789E-1
4.6000E-5	9.5215E-3	4.8364E-1
4.7000E-5	9.7656E-3	4.7749E-1
4.8000E-5	9.2773E-3	4.6904E-1
4.9000E-5	9.5215E-3	4.5937E-1
5.0000E-5	9.7656E-3	4.5195E-1
5.1000E-5	1.0010E-2	4.4458E-1
5.2000E-5	9.5215E-3	4.3711E-1
5.3000E-5	9.7656E-3	4.3159E-1
5.4000E-5	9.2773E-3	4.2827E-1
5.5000E-5	1.0254E-2	4.2466E-1
5.6000E-5	9.2773E-3	4.2056E-1
5.7000E-5	1.0010E-2	4.1655E-1
5.8000E-5	9.7656E-3	4.1445E-1
5.9000E-5	9.7656E-3	4.1519E-1
6.0000E-5	1.0254E-2	4.1563E-1
6.1000E-5	9.7656E-3	4.1470E-1
6.2000E-5	9.2773E-3	4.1348E-1
6.3000E-5	9.5215E-3	4.1079E-1
6.4000E-5	9.7656E-3	4.0210E-1
6.5000E-5	9.5215E-3	3.9321E-1
6.6000E-5	9.7656E-3	3.8682E-1
6.7000E-5	1.0254E-2	3.8081E-1
6.8000E-5	9.5215E-3	3.7627E-1
6.9000E-5	9.5215E-3	3.7358E-1
7.0000E-5	9.7656E-3	3.7139E-1
7.1000E-5	9.2773E-3	3.6841E-1
7.2000E-5	8.7891E-3	3.6660E-1
7.3000E-5	9.2773E-3	3.6357E-1
7.4000E-5	9.5215E-3	3.6001E-1
7.5000E-5	9.5215E-3	3.5615E-1
7.6000E-5	9.5215E-3	3.5420E-1
7.7000E-5	9.7656E-3	3.5117E-1
7.8000E-5	1.0742E-2	3.4658E-1
7.9000E-5	9.2773E-3	3.4541E-1
8.0000E-5	9.7656E-3	3.4336E-1
8.1000E-5	9.2773E-3	3.3901E-1
8.2000E-5	9.2773E-3	3.3423E-1
8.3000E-5	1.0254E-2	3.2935E-1
8.4000E-5	1.0010E-2	3.2119E-1
8.5000E-5	9.5215E-3	3.1548E-1
8.6000E-5	1.0254E-2	3.1133E-1
8.7000E-5	9.2773E-3	3.0894E-1
8.8000E-5	9.5215E-3	3.0850E-1
8.9000E-5	9.5215E-3	3.1021E-1
9.0000E-5	1.0254E-2	3.1172E-1
9.1000E-5	9.0332E-3	3.1147E-1
9.2000E-5	9.5215E-3	3.1079E-1
9.3000E-5	9.5215E-3	3.1108E-1
9.4000E-5	9.7656E-3	3.1079E-1
9.5000E-5	9.7656E-3	3.0864E-1
9.6000E-5	9.5215E-3	3.0684E-1
9.7000E-5	1.0010E-2	3.0425E-1
9.8000E-5	9.7656E-3	3.0117E-1
9.9000E-5	9.2773E-3	2.9834E-1
1.0000E-4	1.0010E-2	2.9766E-1
1.0100E-4	9.5215E-3	2.9888E-1
1.0200E-4	9.2773E-3	3.0342E-1
1.0300E-4	9.5215E-3	3.0776E-1
1.0400E-4	9.5215E-3	3.1069E-1
1.0500E-4	9.7656E-3	3.1260E-1
1.0600E-4	1.0010E-2	3.1528E-1
1.0700E-4	1.0010E-2	3.1807E-1
1.0800E-4	1.0010E-2	3.1997E-1
1.0900E-4	9.2773E-3	3.2334E-1
1.1000E-4	9.5215E-3	3.2847E-1
1.1100E-4	9.2773E-3	3.3145E-1
1.1200E-4	8.7891E-3	3.3120E-1
1.1300E-4	9.7656E-3	3.3228E-1
1.1400E-4	9.2773E-3	3.3203E-1
1.1500E-4	9.5215E-3	3.3115E-1
1.1600E-4	1.0254E-2	3.3052E-1
1.1700E-4	9.5215E-3	3.3203E-1
1.1800E-4	9.7656E-3	3.3379E-1
1.1900E-4	9.7656E-3	3.3667E-1
1.2000E-4	9.2773E-3	3.3906E-1
1.2100E-4	9.2773E-3	3.4180E-1
1.2200E-4	9.5215E-3	3.4209E-1
1.2300E-4	9.2773E-3	3.4009E-1
1.2400E-4	9.7656E-3	3.3760E-1
1.2500E-4	1.0010E-2	3.3604E-1
1.2600E-4	9.7656E-3	3.3569E-1
1.2700E-4	1.0010E-2	3.3799E-1
1.2800E-4	9.0332E-3	3.4180E-1
1.2900E-4	9.7656E-3	3.4526E-1
1.3000E-4	1.0010E-2	3.4863E-1
1.3100E-4	1.0010E-2	3.5044E-1
1.3200E-4	9.0332E-3	3.5000E-1
1.3300E-4	9.5215E-3	3.5088E-1
1.3400E-4	1.0010E-2	3.5278E-1
1.3500E-4	9.2773E-3	3.5459E-1
1.3600E-4	9.5215E-3	3.5522E-1
1.3700E-4	1.0498E-2	3.5649E-1
1.3800E-4	9.7656E-3	3.5713E-1
1.3900E-4	9.5215E-3	3.5957E-1
1.4000E-4	9.0332E-3	3.6440E-1
1.4100E-4	1.0010E-2	3.7183E-1
1.4200E-4	9.5215E-3	3.7910E-1
1.4300E-4	1.0254E-2	3.8594E-1
1.4400E-4	9.5215E-3	3.9136E-1
1.4500E-4	1.0254E-2	3.9370E-1
1.4600E-4	9.5215E-3	3.9565E-1
1.4700E-4	9.2773E-3	3.9966E-1
1.4800E-4	8.7891E-3	4.0562E-1
1.4900E-4	9.5215E-3	4.1216E-1
1.5000E-4	1.0254E-2	4.1987E-1
1.5100E-4	9.0332E-3	4.2793E-1
1.5200E-4	9.5215E-3	4.3423E-1
1.5300E-4	9.2773E-3	4.3887E-1
1.5400E-4	9.7656E-3	4.4414E-1
1.5500E-4	9.5215E-3	4.5039E-1
1.5600E-4	9.2773E-3	4.5718E-1
1.5700E-4	9.7656E-3	4.6489E-1
1.5800E-4	1.0498E-2	4.7231E-1
1.5900E-4	1.0254E-2	4.7900E-1
1.6000E-4	9.5215E-3	4.8657E-1
1.6100E-4	9.7656E-3	4.9399E-1
1.6200E-4	1.0254E-2	5.0146E-1
1.6300E-4	9.5215E-3	5.0815E-1
1.6400E-4	9.5215E-3	5.1401E-1
1.6500E-4	9.2773E-3	5.1704E-1
1.6600E-4	9.7656E-3	5.2100E-1
1.6700E-4	9.0332E-3	5.2285E-1
1.6800E-4	9.0332E-3	5.2520E-1
1.6900E-4	9.5215E-3	5.2935E-1
1.7000E-4	9.7656E-3	5.3516E-1
1.7100E-4	8.7891E-3	5.4106E-1
1.7200E-4	9.2773E-3	5.4907E-1
1.7300E-4	1.0010E-2	5.5771E-1
1.7400E-4	8.5449E-3	5.6445E-1
1.7500E-4	9.7656E-3	5.6851E-1
1.7600E-4	9.5215E-3	5.7007E-1
1.7700E-4	9.0332E-3	5.7061E-1
1.7800E-4	9.5215E-3	5.7476E-1
1.7900E-4	9.7656E-3	5.8218E-1
1.8000E-4	9.7656E-3	5.9326E-1
1.8100E-4	1.0010E-2	6.0439E-1
1.8200E-4	1.0498E-2	6.1567E-1
1.8300E-4	9.7656E-3	6.2271E-1
1.8400E-4	9.5215E-3	6.2676E-1
1.8500E-4	9.5215E-3	6.3008E-1
1.8600E-4	9.5215E-3	6.3418E-1
1.8700E-4	9.5215E-3	6.3979E-1
1.8800E-4	1.0010E-2	6.4673E-1
1.8900E-4	9.7656E-3	6.5371E-1
1.9000E-4	9.5215E-3	6.6191E-1
1.9100E-4	1.0010E-2	6.6924E-1
1.9200E-4	9.5215E-3	6.7612E-1
1.9300E-4	9.5215E-3	6.8149E-1
1.9400E-4	9.7656E-3	6.8721E-1
1.9500E-4	9.5215E-3	6.9092E-1
1.9600E-4	9.2773E-3	6.9355E-1
1.9700E-4	9.7656E-3	6.9395E-1
1.9800E-4	9.2773E-3	6.9399E-1
1.9900E-4	9.2773E-3	6.9341E-1
2.0000E-4	9.2773E-3	6.9395E-1
2.0100E-4	9.2773E-3	6.9663E-1
2.0200E-4	1.0010E-2	7.0107E-1
2.0300E-4	9.5215E-3	7.0605E-1
2.0400E-4	8.7891E-3	7.0991E-1
2.0500E-4	9.7656E-3	7.1309E-1
2.0600E-4	9.2773E-3	7.1494E-1
2.0700E-4	9.7656E-3	7.1860E-1
2.0800E-4	9.5215E-3	7.2134E-1
2.0900E-4	9.5215E-3	7.2524E-1
2.1000E-4	9.7656E-3	7.2578E-1
2.1100E-4	9.2773E-3	7.2642E-1
2.1200E-4	9.5215E-3	7.2305E-1
2.1300E-4	9.5215E-3	7.1997E-1
2.1400E-4	9.2773E-3	7.1431E-1
2.1500E-4	1.0010E-2	7.0879E-1
2.1600E-4	1.0010E-2	7.0220E-1
2.1700E-4	9.2773E-3	6.9751E-1
2.1800E-4	9.2773E-3	6.9575E-1
2.1900E-4	1.0010E-2	6.9595E-1
2.2000E-4	9.5215E-3	6.9927E-1
2.2100E-4	9.2773E-3	7.0449E-1
2.2200E-4	1.0010E-2	7.0801E-1
2.2300E-4	1.0010E-2	7.0874E-1
2.2400E-4	1.0254E-2	7.0918E-1
2.2500E-4	9.5215E-3	7.0688E-1
2.2600E-4	9.5215E-3	7.0161E-1
2.2700E-4	1.0254E-2	6.9653E-1
2.2800E-4	9.2773E-3	6.8994E-1
2.2900E-4	9.2773E-3	6.8408E-1
2.3000E-4	9.7656E-3	6.7866E-1
2.3100E-4	9.2773E-3	6.7588E-1
2.3200E-4	9.5215E-3	6.7334E-1
2.3300E-4	9.2773E-3	6.7236E-1
2.3400E-4	1.0498E-2	6.7026E-1
2.3500E-4	9.2773E-3	6.6909E-1
2.3600E-4	9.7656E-3	6.6514E-1
2.3700E-4	9.2773E-3	6.6157E-1
2.3800E-4	9.5215E-3	6.5952E-1
2.3900E-4	9.5215E-3	6.5815E-1
2.4000E-4	9.2773E-3	6.5679E-1
2.4100E-4	9.5215E-3	6.6001E-1
2.4200E-4	9.7656E-3	6.6455E-1
2.4300E-4	8.5449E-3	6.6763E-1
2.4400E-4	9.5215E-3	6.7075E-1
2.4500E-4	9.0332E-3	6.7339E-1
2.4600E-4	9.5215E-3	6.7334E-1
2.4700E-4	9.7656E-3	6.7124E-1
