Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.2773E-3	5.1611E-2
1.0000E-6	1.0254E-2	4.1602E-2
2.0000E-6	1.0254E-2	3.1396E-2
3.0000E-6	9.0332E-3	2.1973E-2
4.0000E-6	9.5215E-3	2.0215E-2
5.0000E-6	9.7656E-3	2.2949E-2
6.0000E-6	1.0010E-2	2.5684E-2
7.0000E-6	9.5215E-3	2.7490E-2
8.0000E-6	9.2773E-3	2.7734E-2
9.0000E-6	9.5215E-3	2.3828E-2
1.0000E-5	9.7656E-3	1.9287E-2
1.1000E-5	9.2773E-3	1.6455E-2
1.2000E-5	9.7656E-3	1.5381E-2
1.3000E-5	1.0010E-2	1.5137E-2
1.4000E-5	9.2773E-3	1.7773E-2
1.5000E-5	9.5215E-3	2.1924E-2
1.6000E-5	9.7656E-3	2.4170E-2
1.7000E-5	9.2773E-3	2.5146E-2
1.8000E-5	1.0010E-2	2.6514E-2
1.9000E-5	9.7656E-3	2.6172E-2
2.0000E-5	9.7656E-3	2.3926E-2
2.1000E-5	9.7656E-3	2.2412E-2
2.2000E-5	9.5215E-3	2.4561E-2
2.3000E-5	9.5215E-3	2.4463E-2
2.4000E-5	9.2773E-3	2.5537E-2
2.5000E-5	9.5215E-3	2.8027E-2
2.6000E-5	9.0332E-3	3.1055E-2
2.7000E-5	9.2773E-3	3.1445E-2
2.8000E-5	9.5215E-3	3.3838E-2
2.9000E-5	9.2773E-3	3.5840E-2
3.0000E-5	9.7656E-3	3.8037E-2
3.1000E-5	9.5215E-3	3.9795E-2
3.2000E-5	9.5215E-3	4.2969E-2
3.3000E-5	1.0010E-2	4.8096E-2
3.4000E-5	9.2773E-3	5.8447E-2
3.5000E-5	9.5215E-3	7.2021E-2
3.6000E-5	1.0254E-2	9.2188E-2
3.7000E-5	9.5215E-3	1.1772E-1
3.8000E-5	9.2773E-3	1.4927E-1
3.9000E-5	9.2773E-3	1.8677E-1
4.0000E-5	9.5215E-3	2.3389E-1
4.1000E-5	9.7656E-3	2.8994E-1
4.2000E-5	9.7656E-3	3.5894E-1
4.3000E-5	9.5215E-3	4.4580E-1
