Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.2773E-3	3.4570E-2
1.0000E-6	9.7656E-3	3.5742E-2
2.0000E-6	9.7656E-3	3.8086E-2
3.0000E-6	9.5215E-3	3.8867E-2
4.0000E-6	1.0010E-2	4.0283E-2
5.0000E-6	9.7656E-3	4.2627E-2
6.0000E-6	9.5215E-3	4.4434E-2
7.0000E-6	1.0254E-2	4.5801E-2
8.0000E-6	9.5215E-3	4.8682E-2
9.0000E-6	9.7656E-3	5.2734E-2
1.0000E-5	1.0498E-2	5.8105E-2
1.1000E-5	9.2773E-3	6.5771E-2
1.2000E-5	9.5215E-3	7.6904E-2
1.3000E-5	9.2773E-3	9.6094E-2
1.4000E-5	1.0010E-2	1.2441E-1
1.5000E-5	1.0010E-2	1.6147E-1
1.6000E-5	1.0010E-2	2.0874E-1
1.7000E-5	9.7656E-3	2.6743E-1
1.8000E-5	9.5215E-3	3.3760E-1
1.9000E-5	9.7656E-3	4.2168E-1
2.0000E-5	1.0254E-2	5.1719E-1
2.1000E-5	9.5215E-3	6.2075E-1
2.2000E-5	1.0254E-2	7.1768E-1
2.3000E-5	9.2773E-3	7.9546E-1
2.4000E-5	9.7656E-3	8.4062E-1
2.5000E-5	9.0332E-3	8.4839E-1
2.6000E-5	9.5215E-3	8.1455E-1
2.7000E-5	1.0010E-2	7.5156E-1
2.8000E-5	9.5215E-3	6.6621E-1
2.9000E-5	1.0010E-2	5.7046E-1
3.0000E-5	1.0010E-2	4.7319E-1
3.1000E-5	9.2773E-3	3.8633E-1
3.2000E-5	1.0254E-2	3.1348E-1
3.3000E-5	9.5215E-3	2.5947E-1
3.4000E-5	9.7656E-3	2.2236E-1
3.5000E-5	9.5215E-3	2.0449E-1
3.6000E-5	1.0010E-2	2.0049E-1
3.7000E-5	1.0010E-2	2.0566E-1
3.8000E-5	9.7656E-3	2.2051E-1
3.9000E-5	1.0010E-2	2.4277E-1
4.0000E-5	1.0010E-2	2.6968E-1
4.1000E-5	9.2773E-3	3.0024E-1
4.2000E-5	9.7656E-3	3.3594E-1
4.3000E-5	1.0010E-2	3.7363E-1
4.4000E-5	1.0010E-2	4.1685E-1
4.5000E-5	9.7656E-3	4.6777E-1
4.6000E-5	1.0010E-2	5.2505E-1
4.7000E-5	9.7656E-3	5.8887E-1
4.8000E-5	1.0010E-2	6.5635E-1
4.9000E-5	9.7656E-3	7.1831E-1
5.0000E-5	9.5215E-3	7.6455E-1
5.1000E-5	9.0332E-3	7.9326E-1
5.2000E-5	9.2773E-3	8.0005E-1
5.3000E-5	1.0254E-2	7.8379E-1
5.4000E-5	9.7656E-3	7.4844E-1
5.5000E-5	9.2773E-3	7.0020E-1
5.6000E-5	1.0010E-2	6.4067E-1
5.7000E-5	9.7656E-3	5.7598E-1
5.8000E-5	9.2773E-3	5.1167E-1
5.9000E-5	9.7656E-3	4.5151E-1
6.0000E-5	9.0332E-3	3.9790E-1
6.1000E-5	9.7656E-3	3.5664E-1
6.2000E-5	9.2773E-3	3.2759E-1
6.3000E-5	9.7656E-3	3.0933E-1
6.4000E-5	9.2773E-3	3.0303E-1
6.5000E-5	9.7656E-3	3.0771E-1
6.6000E-5	9.5215E-3	3.2036E-1
6.7000E-5	9.5215E-3	3.4077E-1
6.8000E-5	9.5215E-3	3.6460E-1
6.9000E-5	1.0010E-2	3.9111E-1
7.0000E-5	1.0010E-2	4.2407E-1
7.1000E-5	1.0010E-2	4.6162E-1
7.2000E-5	9.2773E-3	5.0552E-1
7.3000E-5	9.7656E-3	5.5825E-1
7.4000E-5	9.5215E-3	6.1543E-1
7.5000E-5	9.5215E-3	6.7090E-1
7.6000E-5	1.0010E-2	7.2461E-1
7.7000E-5	9.7656E-3	7.6816E-1
7.8000E-5	9.7656E-3	7.9702E-1
7.9000E-5	9.2773E-3	8.1211E-1
8.0000E-5	9.2773E-3	8.1318E-1
8.1000E-5	9.5215E-3	7.9834E-1
8.2000E-5	9.7656E-3	7.6880E-1
8.3000E-5	1.0010E-2	7.3477E-1
8.4000E-5	1.0254E-2	6.9277E-1
8.5000E-5	9.5215E-3	6.4521E-1
8.6000E-5	9.5215E-3	5.9624E-1
8.7000E-5	9.5215E-3	5.4985E-1
8.8000E-5	1.0498E-2	5.0542E-1
8.9000E-5	9.2773E-3	4.7031E-1
9.0000E-5	9.5215E-3	4.4536E-1
9.1000E-5	9.2773E-3	4.2866E-1
9.2000E-5	9.7656E-3	4.2153E-1
9.3000E-5	9.2773E-3	4.2202E-1
9.4000E-5	1.0010E-2	4.2896E-1
9.5000E-5	1.0010E-2	4.4092E-1
9.6000E-5	9.5215E-3	4.5928E-1
9.7000E-5	9.7656E-3	4.8413E-1
9.8000E-5	9.5215E-3	5.1152E-1
9.9000E-5	9.7656E-3	5.4541E-1
1.0000E-4	9.5215E-3	5.8394E-1
1.0100E-4	9.7656E-3	6.2739E-1
1.0200E-4	1.0742E-2	6.7046E-1
1.0300E-4	9.2773E-3	7.1572E-1
1.0400E-4	9.5215E-3	7.5645E-1
1.0500E-4	1.0010E-2	7.9097E-1
1.0600E-4	9.7656E-3	8.1440E-1
1.0700E-4	1.0010E-2	8.2578E-1
1.0800E-4	9.2773E-3	8.2227E-1
1.0900E-4	9.2773E-3	8.0518E-1
1.1000E-4	9.5215E-3	7.7690E-1
1.1100E-4	1.0254E-2	7.4199E-1
1.1200E-4	9.2773E-3	7.0396E-1
1.1300E-4	9.7656E-3	6.6826E-1
1.1400E-4	9.2773E-3	6.3198E-1
1.1500E-4	9.7656E-3	5.9614E-1
1.1600E-4	9.7656E-3	5.6255E-1
1.1700E-4	9.7656E-3	5.3359E-1
1.1800E-4	1.0254E-2	5.0854E-1
1.1900E-4	9.5215E-3	4.9141E-1
1.2000E-4	9.7656E-3	4.8340E-1
1.2100E-4	9.7656E-3	4.8408E-1
1.2200E-4	9.7656E-3	4.9062E-1
1.2300E-4	9.2773E-3	5.0371E-1
1.2400E-4	9.5215E-3	5.2187E-1
1.2500E-4	9.2773E-3	5.4385E-1
1.2600E-4	9.2773E-3	5.6792E-1
1.2700E-4	9.0332E-3	5.9497E-1
1.2800E-4	9.5215E-3	6.2085E-1
1.2900E-4	9.5215E-3	6.4653E-1
1.3000E-4	9.2773E-3	6.7354E-1
1.3100E-4	1.0010E-2	6.9941E-1
1.3200E-4	9.5215E-3	7.2437E-1
1.3300E-4	9.0332E-3	7.4697E-1
1.3400E-4	9.7656E-3	7.6572E-1
1.3500E-4	9.7656E-3	7.7812E-1
1.3600E-4	9.2773E-3	7.8613E-1
1.3700E-4	1.0010E-2	7.8657E-1
1.3800E-4	9.7656E-3	7.8022E-1
1.3900E-4	1.0010E-2	7.6709E-1
1.4000E-4	9.5215E-3	7.4951E-1
1.4100E-4	9.5215E-3	7.2651E-1
1.4200E-4	9.2773E-3	7.0103E-1
1.4300E-4	9.7656E-3	6.7695E-1
1.4400E-4	9.5215E-3	6.5767E-1
1.4500E-4	9.0332E-3	6.4092E-1
1.4600E-4	9.7656E-3	6.2905E-1
1.4700E-4	9.7656E-3	6.2056E-1
1.4800E-4	1.0010E-2	6.1348E-1
1.4900E-4	9.2773E-3	6.0884E-1
1.5000E-4	1.0010E-2	6.0635E-1
1.5100E-4	1.0010E-2	6.0645E-1
1.5200E-4	9.5215E-3	6.1006E-1
1.5300E-4	9.7656E-3	6.1626E-1
1.5400E-4	9.7656E-3	6.2324E-1
1.5500E-4	9.5215E-3	6.3066E-1
1.5600E-4	8.7891E-3	6.3828E-1
1.5700E-4	1.0254E-2	6.4619E-1
1.5800E-4	9.7656E-3	6.5405E-1
1.5900E-4	9.0332E-3	6.6006E-1
1.6000E-4	1.0010E-2	6.6626E-1
1.6100E-4	9.7656E-3	6.7271E-1
1.6200E-4	9.7656E-3	6.8140E-1
1.6300E-4	9.2773E-3	6.9121E-1
1.6400E-4	9.2773E-3	7.0195E-1
1.6500E-4	1.0010E-2	7.1318E-1
1.6600E-4	9.7656E-3	7.2246E-1
1.6700E-4	9.5215E-3	7.2964E-1
1.6800E-4	9.5215E-3	7.3545E-1
1.6900E-4	9.2773E-3	7.4121E-1
1.7000E-4	9.0332E-3	7.4038E-1
1.7100E-4	9.0332E-3	7.3804E-1
1.7200E-4	8.7891E-3	7.3198E-1
1.7300E-4	9.2773E-3	7.2319E-1
1.7400E-4	9.7656E-3	7.1284E-1
1.7500E-4	1.0010E-2	7.0591E-1
1.7600E-4	9.2773E-3	6.9668E-1
1.7700E-4	9.0332E-3	6.8701E-1
1.7800E-4	1.0010E-2	6.7520E-1
1.7900E-4	9.5215E-3	6.6245E-1
1.8000E-4	9.0332E-3	6.5029E-1
1.8100E-4	9.5215E-3	6.3965E-1
1.8200E-4	9.7656E-3	6.2925E-1
1.8300E-4	9.7656E-3	6.2183E-1
1.8400E-4	9.5215E-3	6.1089E-1
1.8500E-4	1.0010E-2	5.9980E-1
1.8600E-4	9.2773E-3	5.8867E-1
1.8700E-4	9.5215E-3	5.8130E-1
1.8800E-4	9.2773E-3	5.7842E-1
1.8900E-4	9.5215E-3	5.8218E-1
1.9000E-4	9.7656E-3	5.9033E-1
1.9100E-4	9.5215E-3	6.0479E-1
1.9200E-4	9.5215E-3	6.2109E-1
1.9300E-4	9.0332E-3	6.3960E-1
1.9400E-4	9.2773E-3	6.6182E-1
1.9500E-4	9.7656E-3	6.8535E-1
1.9600E-4	9.5215E-3	7.1138E-1
1.9700E-4	9.2773E-3	7.3862E-1
1.9800E-4	9.2773E-3	7.6333E-1
1.9900E-4	9.2773E-3	7.8408E-1
2.0000E-4	9.5215E-3	7.9966E-1
2.0100E-4	9.2773E-3	8.0864E-1
2.0200E-4	9.0332E-3	8.1196E-1
2.0300E-4	9.5215E-3	8.0996E-1
2.0400E-4	1.0010E-2	8.0454E-1
2.0500E-4	9.5215E-3	7.9316E-1
2.0600E-4	9.5215E-3	7.7549E-1
2.0700E-4	9.7656E-3	7.5112E-1
2.0800E-4	9.0332E-3	7.2036E-1
2.0900E-4	9.2773E-3	6.8433E-1
2.1000E-4	9.7656E-3	6.4790E-1
2.1100E-4	9.5215E-3	6.1113E-1
2.1200E-4	1.0254E-2	5.8105E-1
2.1300E-4	9.5215E-3	5.5767E-1
2.1400E-4	9.7656E-3	5.4121E-1
2.1500E-4	9.2773E-3	5.3433E-1
2.1600E-4	9.2773E-3	5.3545E-1
2.1700E-4	9.7656E-3	5.4072E-1
2.1800E-4	9.5215E-3	5.5151E-1
2.1900E-4	9.2773E-3	5.6436E-1
2.2000E-4	1.0010E-2	5.8018E-1
2.2100E-4	9.5215E-3	6.0010E-1
2.2200E-4	9.5215E-3	6.2251E-1
2.2300E-4	9.5215E-3	6.4800E-1
2.2400E-4	9.5215E-3	6.7798E-1
2.2500E-4	9.5215E-3	7.0884E-1
2.2600E-4	1.0010E-2	7.3779E-1
2.2700E-4	9.5215E-3	7.6631E-1
2.2800E-4	9.5215E-3	7.9399E-1
2.2900E-4	1.0010E-2	8.1787E-1
2.3000E-4	9.7656E-3	8.3579E-1
2.3100E-4	9.0332E-3	8.4658E-1
2.3200E-4	9.0332E-3	8.4600E-1
2.3300E-4	9.5215E-3	8.3491E-1
2.3400E-4	9.5215E-3	8.1152E-1
2.3500E-4	9.7656E-3	7.7725E-1
2.3600E-4	9.5215E-3	7.3662E-1
2.3700E-4	9.5215E-3	6.9604E-1
2.3800E-4	9.7656E-3	6.5269E-1
2.3900E-4	9.7656E-3	6.1416E-1
2.4000E-4	9.5215E-3	5.8301E-1
2.4100E-4	9.7656E-3	5.5962E-1
2.4200E-4	9.5215E-3	5.4424E-1
2.4300E-4	9.5215E-3	5.3560E-1
2.4400E-4	9.0332E-3	5.3159E-1
2.4500E-4	9.2773E-3	5.3462E-1
2.4600E-4	9.5215E-3	5.4282E-1
2.4700E-4	9.7656E-3	5.5332E-1
2.4800E-4	9.5215E-3	5.6992E-1
2.4900E-4	9.7656E-3	5.9155E-1
2.5000E-4	9.0332E-3	6.1431E-1
2.5100E-4	9.7656E-3	6.3906E-1
2.5200E-4	9.5215E-3	6.6680E-1
2.5300E-4	1.0010E-2	6.9829E-1
2.5400E-4	1.0010E-2	7.3247E-1
2.5500E-4	9.0332E-3	7.6733E-1
2.5600E-4	1.0010E-2	8.0063E-1
2.5700E-4	9.2773E-3	8.2905E-1
2.5800E-4	1.0254E-2	8.4775E-1
2.5900E-4	9.7656E-3	8.5815E-1
2.6000E-4	1.0010E-2	8.5737E-1
2.6100E-4	9.7656E-3	8.4585E-1
2.6200E-4	1.0010E-2	8.2275E-1
2.6300E-4	9.0332E-3	7.9102E-1
2.6400E-4	9.2773E-3	7.5000E-1
2.6500E-4	9.5215E-3	7.0459E-1
2.6600E-4	9.2773E-3	6.5952E-1
2.6700E-4	9.5215E-3	6.1929E-1
2.6800E-4	9.5215E-3	5.8472E-1
2.6900E-4	9.7656E-3	5.5933E-1
2.7000E-4	9.5215E-3	5.4292E-1
2.7100E-4	1.0010E-2	5.3301E-1
2.7200E-4	1.0010E-2	5.2837E-1
2.7300E-4	9.2773E-3	5.3022E-1
2.7400E-4	1.0010E-2	5.3711E-1
2.7500E-4	9.5215E-3	5.4746E-1
2.7600E-4	9.0332E-3	5.6060E-1
2.7700E-4	9.5215E-3	5.7808E-1
2.7800E-4	9.5215E-3	5.9951E-1
2.7900E-4	9.5215E-3	6.2290E-1
2.8000E-4	9.5215E-3	6.5176E-1
2.8100E-4	9.0332E-3	6.8467E-1
2.8200E-4	1.0498E-2	7.1855E-1
2.8300E-4	9.2773E-3	7.5259E-1
2.8400E-4	9.5215E-3	7.8564E-1
2.8500E-4	9.0332E-3	8.1362E-1
2.8600E-4	1.0010E-2	8.3379E-1
2.8700E-4	9.5215E-3	8.4365E-1
2.8800E-4	1.0010E-2	8.4277E-1
2.8900E-4	9.2773E-3	8.3262E-1
2.9000E-4	9.7656E-3	8.1265E-1
2.9100E-4	9.5215E-3	7.9072E-1
2.9200E-4	1.0254E-2	7.6992E-1
2.9300E-4	9.5215E-3	7.4697E-1
2.9400E-4	9.2773E-3	7.2471E-1
2.9500E-4	9.2773E-3	7.0488E-1
2.9600E-4	9.2773E-3	6.8335E-1
2.9700E-4	9.5215E-3	6.6064E-1
2.9800E-4	1.0254E-2	6.4116E-1
2.9900E-4	9.5215E-3	6.2407E-1
3.0000E-4	9.7656E-3	6.0986E-1
3.0100E-4	9.0332E-3	6.0200E-1
3.0200E-4	9.7656E-3	5.9971E-1
3.0300E-4	9.5215E-3	6.0269E-1
3.0400E-4	9.2773E-3	6.0977E-1
3.0500E-4	9.2773E-3	6.2070E-1
3.0600E-4	9.5215E-3	6.3389E-1
3.0700E-4	9.0332E-3	6.5000E-1
3.0800E-4	9.7656E-3	6.6714E-1
3.0900E-4	9.7656E-3	6.8511E-1
3.1000E-4	9.0332E-3	7.0361E-1
3.1100E-4	9.2773E-3	7.2178E-1
3.1200E-4	9.0332E-3	7.3682E-1
3.1300E-4	1.0254E-2	7.5112E-1
3.1400E-4	9.2773E-3	7.6445E-1
3.1500E-4	9.5215E-3	7.7378E-1
3.1600E-4	9.7656E-3	7.7930E-1
3.1700E-4	9.5215E-3	7.8535E-1
3.1800E-4	1.0010E-2	7.8784E-1
3.1900E-4	9.5215E-3	7.8506E-1
3.2000E-4	9.7656E-3	7.8213E-1
3.2100E-4	9.2773E-3	7.7686E-1
3.2200E-4	9.5215E-3	7.6758E-1
3.2300E-4	9.2773E-3	7.5605E-1
3.2400E-4	9.2773E-3	7.4517E-1
3.2500E-4	9.5215E-3	7.3286E-1
3.2600E-4	9.7656E-3	7.1978E-1
3.2700E-4	9.2773E-3	7.0522E-1
3.2800E-4	9.7656E-3	6.9053E-1
