Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.2773E-3	-8.1333E-1
1.0000E-6	9.7656E-3	-8.0762E-1
2.0000E-6	9.0332E-3	-8.0259E-1
3.0000E-6	9.7656E-3	-7.9775E-1
4.0000E-6	9.2773E-3	-7.9526E-1
5.0000E-6	9.5215E-3	-7.9512E-1
6.0000E-6	9.7656E-3	-7.9463E-1
7.0000E-6	9.0332E-3	-7.9087E-1
8.0000E-6	9.2773E-3	-7.8135E-1
9.0000E-6	1.0010E-2	-7.7002E-1
1.0000E-5	1.0254E-2	-7.5269E-1
1.1000E-5	9.7656E-3	-7.2979E-1
1.2000E-5	9.2773E-3	-7.0439E-1
1.3000E-5	9.5215E-3	-6.7744E-1
1.4000E-5	9.7656E-3	-6.4102E-1
1.5000E-5	9.7656E-3	-5.9307E-1
1.6000E-5	1.0254E-2	-5.3618E-1
1.7000E-5	9.7656E-3	-4.6318E-1
1.8000E-5	9.7656E-3	-3.7139E-1
1.9000E-5	9.7656E-3	-2.6895E-1
2.0000E-5	9.7656E-3	-1.6489E-1
2.1000E-5	9.5215E-3	-6.2598E-2
2.2000E-5	9.5215E-3	2.2949E-2
2.3000E-5	9.7656E-3	7.6074E-2
2.4000E-5	9.5215E-3	9.5850E-2
2.5000E-5	9.7656E-3	8.2471E-2
2.6000E-5	9.5215E-3	4.1113E-2
2.7000E-5	9.0332E-3	-2.1240E-2
2.8000E-5	1.0010E-2	-9.4775E-2
2.9000E-5	9.5215E-3	-1.7197E-1
3.0000E-5	1.0498E-2	-2.4653E-1
3.1000E-5	1.0010E-2	-3.1440E-1
3.2000E-5	9.7656E-3	-3.7095E-1
3.3000E-5	9.7656E-3	-4.1519E-1
3.4000E-5	9.7656E-3	-4.4868E-1
3.5000E-5	9.2773E-3	-4.7290E-1
3.6000E-5	9.2773E-3	-4.8789E-1
3.7000E-5	9.2773E-3	-4.9712E-1
3.8000E-5	1.0010E-2	-4.9795E-1
3.9000E-5	8.7891E-3	-4.9072E-1
4.0000E-5	1.0010E-2	-4.7690E-1
4.1000E-5	9.7656E-3	-4.5811E-1
4.2000E-5	9.2773E-3	-4.3179E-1
4.3000E-5	9.5215E-3	-4.0400E-1
4.4000E-5	9.5215E-3	-3.7065E-1
4.5000E-5	9.5215E-3	-3.3525E-1
4.6000E-5	9.7656E-3	-2.9844E-1
4.7000E-5	9.7656E-3	-2.6123E-1
4.8000E-5	9.2773E-3	-2.2026E-1
4.9000E-5	1.0010E-2	-1.7852E-1
5.0000E-5	8.7891E-3	-1.3423E-1
5.1000E-5	9.5215E-3	-9.0918E-2
5.2000E-5	9.7656E-3	-5.4346E-2
5.3000E-5	9.7656E-3	-2.7832E-2
5.4000E-5	9.0332E-3	-1.6016E-2
5.5000E-5	9.5215E-3	-1.8555E-2
5.6000E-5	9.2773E-3	-3.3545E-2
5.7000E-5	9.0332E-3	-6.0986E-2
5.8000E-5	9.5215E-3	-9.7314E-2
5.9000E-5	1.0254E-2	-1.3784E-1
6.0000E-5	9.7656E-3	-1.8374E-1
6.1000E-5	9.0332E-3	-2.3384E-1
6.2000E-5	1.0498E-2	-2.8228E-1
6.3000E-5	9.5215E-3	-3.2534E-1
6.4000E-5	9.5215E-3	-3.6270E-1
6.5000E-5	9.5215E-3	-3.9360E-1
6.6000E-5	9.2773E-3	-4.1738E-1
6.7000E-5	1.0254E-2	-4.3457E-1
6.8000E-5	9.5215E-3	-4.4570E-1
6.9000E-5	1.0010E-2	-4.5288E-1
7.0000E-5	9.7656E-3	-4.5361E-1
7.1000E-5	9.2773E-3	-4.4429E-1
7.2000E-5	1.0010E-2	-4.2725E-1
7.3000E-5	9.2773E-3	-4.0420E-1
7.4000E-5	9.5215E-3	-3.7607E-1
7.5000E-5	9.5215E-3	-3.4312E-1
7.6000E-5	1.0010E-2	-3.0742E-1
7.7000E-5	1.0010E-2	-2.6450E-1
7.8000E-5	9.7656E-3	-2.1602E-1
7.9000E-5	9.7656E-3	-1.6357E-1
8.0000E-5	1.0010E-2	-1.1284E-1
8.1000E-5	9.2773E-3	-7.4902E-2
8.2000E-5	1.0010E-2	-5.5225E-2
8.3000E-5	9.7656E-3	-5.1709E-2
8.4000E-5	1.0254E-2	-6.1230E-2
8.5000E-5	9.7656E-3	-8.1250E-2
8.6000E-5	9.2773E-3	-1.0581E-1
8.7000E-5	1.0254E-2	-1.3271E-1
8.8000E-5	9.5215E-3	-1.6650E-1
8.9000E-5	9.0332E-3	-2.1040E-1
9.0000E-5	9.2773E-3	-2.5898E-1
9.1000E-5	8.5449E-3	-3.0654E-1
9.2000E-5	9.7656E-3	-3.5176E-1
9.3000E-5	9.7656E-3	-3.9380E-1
9.4000E-5	9.5215E-3	-4.2646E-1
9.5000E-5	9.5215E-3	-4.5049E-1
9.6000E-5	9.5215E-3	-4.6631E-1
9.7000E-5	9.2773E-3	-4.7686E-1
9.8000E-5	9.5215E-3	-4.7666E-1
9.9000E-5	8.5449E-3	-4.6899E-1
1.0000E-4	1.0254E-2	-4.5503E-1
1.0100E-4	9.5215E-3	-4.3633E-1
1.0200E-4	9.7656E-3	-4.1123E-1
