Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.5215E-3	-2.8159E-1
1.0000E-6	9.7656E-3	-2.8618E-1
2.0000E-6	1.0010E-2	-2.9058E-1
3.0000E-6	9.0332E-3	-2.9507E-1
4.0000E-6	9.5215E-3	-2.9751E-1
5.0000E-6	9.7656E-3	-2.9824E-1
6.0000E-6	1.0010E-2	-2.9609E-1
7.0000E-6	1.0254E-2	-2.9502E-1
8.0000E-6	9.5215E-3	-2.9312E-1
9.0000E-6	9.5215E-3	-2.9092E-1
1.0000E-5	8.5449E-3	-2.8574E-1
1.1000E-5	9.7656E-3	-2.7939E-1
1.2000E-5	9.7656E-3	-2.7207E-1
1.3000E-5	9.5215E-3	-2.6528E-1
1.4000E-5	1.0254E-2	-2.5903E-1
1.5000E-5	9.5215E-3	-2.5464E-1
1.6000E-5	1.0010E-2	-2.4810E-1
1.7000E-5	1.0010E-2	-2.3662E-1
1.8000E-5	9.2773E-3	-2.1973E-1
1.9000E-5	1.0498E-2	-1.9468E-1
2.0000E-5	9.2773E-3	-1.6025E-1
2.1000E-5	9.0332E-3	-1.1465E-1
2.2000E-5	9.7656E-3	-5.6152E-2
2.3000E-5	9.0332E-3	1.8652E-2
2.4000E-5	1.0010E-2	1.0786E-1
2.5000E-5	1.0010E-2	2.0898E-1
2.6000E-5	9.7656E-3	3.1270E-1
2.7000E-5	9.7656E-3	4.0630E-1
2.8000E-5	9.7656E-3	4.7607E-1
2.9000E-5	9.7656E-3	5.1929E-1
3.0000E-5	9.7656E-3	5.2876E-1
3.1000E-5	9.5215E-3	5.0596E-1
3.2000E-5	1.0010E-2	4.6113E-1
3.3000E-5	9.5215E-3	4.0654E-1
3.4000E-5	9.7656E-3	3.4458E-1
3.5000E-5	9.2773E-3	2.8608E-1
3.6000E-5	9.2773E-3	2.3784E-1
3.7000E-5	9.5215E-3	2.0225E-1
3.8000E-5	9.5215E-3	1.7817E-1
3.9000E-5	9.0332E-3	1.6562E-1
4.0000E-5	9.5215E-3	1.6304E-1
4.1000E-5	9.7656E-3	1.6743E-1
4.2000E-5	9.7656E-3	1.7842E-1
4.3000E-5	9.2773E-3	1.9443E-1
4.4000E-5	1.0010E-2	2.1265E-1
4.5000E-5	9.5215E-3	2.3398E-1
4.6000E-5	1.0254E-2	2.5562E-1
4.7000E-5	1.0254E-2	2.7422E-1
4.8000E-5	9.5215E-3	2.9194E-1
4.9000E-5	9.7656E-3	3.0522E-1
5.0000E-5	9.5215E-3	3.1074E-1
5.1000E-5	9.5215E-3	3.1309E-1
5.2000E-5	1.0254E-2	3.1162E-1
5.3000E-5	9.5215E-3	3.0503E-1
5.4000E-5	9.5215E-3	3.0034E-1
5.5000E-5	9.5215E-3	2.9756E-1
5.6000E-5	1.0010E-2	2.9434E-1
5.7000E-5	9.5215E-3	2.9312E-1
5.8000E-5	9.7656E-3	2.9629E-1
5.9000E-5	9.5215E-3	3.0156E-1
6.0000E-5	1.0010E-2	3.1147E-1
