Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.7656E-3	-1.7490E-1
1.0000E-6	1.0010E-2	-1.6445E-1
2.0000E-6	1.0254E-2	-1.4868E-1
3.0000E-6	9.7656E-3	-1.2334E-1
4.0000E-6	9.5215E-3	-8.8672E-2
5.0000E-6	9.7656E-3	-4.5068E-2
6.0000E-6	9.0332E-3	1.2012E-2
7.0000E-6	9.7656E-3	8.2080E-2
8.0000E-6	9.5215E-3	1.6338E-1
9.0000E-6	9.5215E-3	2.5591E-1
1.0000E-5	1.0254E-2	3.5840E-1
1.1000E-5	9.7656E-3	4.6191E-1
1.2000E-5	1.0010E-2	5.5405E-1
1.3000E-5	9.2773E-3	6.2534E-1
1.4000E-5	9.5215E-3	6.6646E-1
1.5000E-5	1.0010E-2	6.7192E-1
1.6000E-5	9.2773E-3	6.4521E-1
1.7000E-5	9.5215E-3	5.9482E-1
1.8000E-5	9.2773E-3	5.2988E-1
1.9000E-5	9.7656E-3	4.6050E-1
2.0000E-5	9.5215E-3	3.9419E-1
2.1000E-5	9.0332E-3	3.4043E-1
2.2000E-5	1.0254E-2	3.0083E-1
2.3000E-5	9.5215E-3	2.7681E-1
2.4000E-5	9.5215E-3	2.6763E-1
2.5000E-5	9.5215E-3	2.7173E-1
2.6000E-5	9.5215E-3	2.8179E-1
2.7000E-5	9.7656E-3	2.9927E-1
2.8000E-5	9.5215E-3	3.2100E-1
2.9000E-5	9.5215E-3	3.4404E-1
3.0000E-5	9.7656E-3	3.6475E-1
3.1000E-5	1.0010E-2	3.8311E-1
3.2000E-5	9.7656E-3	3.9790E-1
3.3000E-5	9.2773E-3	4.0796E-1
3.4000E-5	9.2773E-3	4.1191E-1
3.5000E-5	1.0010E-2	4.1406E-1
3.6000E-5	9.7656E-3	4.1328E-1
3.7000E-5	9.2773E-3	4.1060E-1
3.8000E-5	9.7656E-3	4.1128E-1
3.9000E-5	8.5449E-3	4.1270E-1
4.0000E-5	9.0332E-3	4.1543E-1
4.1000E-5	1.0010E-2	4.1826E-1
4.2000E-5	9.7656E-3	4.2437E-1
4.3000E-5	9.2773E-3	4.2695E-1
4.4000E-5	9.0332E-3	4.3052E-1
4.5000E-5	9.5215E-3	4.3584E-1
4.6000E-5	1.0010E-2	4.4678E-1
4.7000E-5	9.7656E-3	4.6099E-1
4.8000E-5	9.2773E-3	4.8047E-1
4.9000E-5	1.0010E-2	5.0371E-1
5.0000E-5	9.0332E-3	5.2632E-1
5.1000E-5	9.5215E-3	5.4688E-1
5.2000E-5	9.7656E-3	5.6167E-1
5.3000E-5	9.7656E-3	5.6753E-1
5.4000E-5	9.5215E-3	5.6426E-1
5.5000E-5	9.7656E-3	5.5337E-1
5.6000E-5	1.0010E-2	5.3149E-1
5.7000E-5	9.5215E-3	5.0342E-1
5.8000E-5	9.2773E-3	4.7192E-1
5.9000E-5	1.0254E-2	4.3647E-1
6.0000E-5	9.7656E-3	3.9902E-1
6.1000E-5	9.5215E-3	3.6602E-1
6.2000E-5	9.5215E-3	3.3638E-1
6.3000E-5	9.2773E-3	3.1353E-1
6.4000E-5	9.2773E-3	3.0015E-1
6.5000E-5	9.5215E-3	2.9414E-1
6.6000E-5	9.7656E-3	2.9360E-1
6.7000E-5	9.7656E-3	2.9932E-1
6.8000E-5	9.7656E-3	3.0864E-1
6.9000E-5	9.5215E-3	3.2158E-1
