Time [s]	Aux in [V]	Main in [V]
0.0000E+0	1.0010E-2	-6.2012E-3
1.0000E-6	9.5215E-3	-8.6426E-3
2.0000E-6	1.0010E-2	-1.1035E-2
3.0000E-6	9.5215E-3	-1.2256E-2
4.0000E-6	9.2773E-3	-1.3770E-2
5.0000E-6	9.2773E-3	-1.4502E-2
6.0000E-6	9.0332E-3	-1.2109E-2
7.0000E-6	9.0332E-3	-8.0566E-3
8.0000E-6	9.0332E-3	-3.1250E-3
9.0000E-6	9.7656E-3	1.8066E-3
1.0000E-5	9.5215E-3	1.0010E-2
1.1000E-5	1.0254E-2	1.9629E-2
1.2000E-5	9.2773E-3	3.2227E-2
1.3000E-5	1.0010E-2	4.9072E-2
1.4000E-5	1.0010E-2	7.2852E-2
1.5000E-5	1.0010E-2	1.0537E-1
1.6000E-5	9.5215E-3	1.4785E-1
1.7000E-5	1.0010E-2	2.0273E-1
1.8000E-5	1.0254E-2	2.6953E-1
1.9000E-5	9.0332E-3	3.5171E-1
2.0000E-5	9.2773E-3	4.4385E-1
2.1000E-5	9.5215E-3	5.3877E-1
2.2000E-5	9.5215E-3	6.2417E-1
2.3000E-5	9.0332E-3	6.9175E-1
2.4000E-5	9.5215E-3	7.3164E-1
2.5000E-5	1.0254E-2	7.4014E-1
2.6000E-5	9.2773E-3	7.2271E-1
2.7000E-5	9.2773E-3	6.8638E-1
2.8000E-5	9.5215E-3	6.3892E-1
2.9000E-5	9.5215E-3	5.8735E-1
3.0000E-5	1.0010E-2	5.3813E-1
3.1000E-5	9.2773E-3	4.9429E-1
3.2000E-5	1.0010E-2	4.5894E-1
3.3000E-5	8.7891E-3	4.3501E-1
3.4000E-5	9.0332E-3	4.2295E-1
3.5000E-5	8.7891E-3	4.2158E-1
3.6000E-5	9.2773E-3	4.2935E-1
3.7000E-5	9.2773E-3	4.4429E-1
3.8000E-5	9.2773E-3	4.6294E-1
3.9000E-5	9.2773E-3	4.8091E-1
4.0000E-5	1.0010E-2	4.9858E-1
4.1000E-5	9.2773E-3	5.1284E-1
4.2000E-5	9.5215E-3	5.2529E-1
4.3000E-5	9.0332E-3	5.3423E-1
4.4000E-5	9.5215E-3	5.4146E-1
4.5000E-5	9.5215E-3	5.4766E-1
4.6000E-5	1.0010E-2	5.5435E-1
4.7000E-5	9.2773E-3	5.5762E-1
4.8000E-5	9.5215E-3	5.6118E-1
4.9000E-5	8.7891E-3	5.6265E-1
5.0000E-5	9.5215E-3	5.6206E-1
5.1000E-5	9.2773E-3	5.6230E-1
5.2000E-5	9.2773E-3	5.6455E-1
5.3000E-5	9.7656E-3	5.6777E-1
5.4000E-5	9.7656E-3	5.7188E-1
5.5000E-5	9.2773E-3	5.7803E-1
5.6000E-5	9.0332E-3	5.8101E-1
5.7000E-5	1.0254E-2	5.8628E-1
5.8000E-5	1.0010E-2	5.9126E-1
5.9000E-5	8.5449E-3	6.0083E-1
6.0000E-5	9.7656E-3	6.1050E-1
6.1000E-5	9.5215E-3	6.2354E-1
6.2000E-5	9.0332E-3	6.3408E-1
6.3000E-5	9.2773E-3	6.4102E-1
6.4000E-5	9.2773E-3	6.4087E-1
6.5000E-5	1.0010E-2	6.3433E-1
6.6000E-5	9.0332E-3	6.1934E-1
6.7000E-5	9.2773E-3	5.9717E-1
6.8000E-5	9.0332E-3	5.7197E-1
6.9000E-5	9.2773E-3	5.4434E-1
7.0000E-5	9.5215E-3	5.1646E-1
7.1000E-5	9.5215E-3	4.8848E-1
7.2000E-5	9.5215E-3	4.6172E-1
7.3000E-5	8.5449E-3	4.3760E-1
7.4000E-5	1.0010E-2	4.1768E-1
7.5000E-5	9.7656E-3	4.0449E-1
7.6000E-5	9.2773E-3	3.9800E-1
7.7000E-5	9.7656E-3	3.9863E-1
7.8000E-5	9.7656E-3	4.0371E-1
7.9000E-5	9.0332E-3	4.1440E-1
8.0000E-5	9.2773E-3	4.2686E-1
8.1000E-5	9.2773E-3	4.4307E-1
8.2000E-5	9.2773E-3	4.6191E-1
8.3000E-5	9.2773E-3	4.8462E-1
8.4000E-5	9.7656E-3	5.1011E-1
8.5000E-5	1.0010E-2	5.4106E-1
8.6000E-5	8.7891E-3	5.7539E-1
8.7000E-5	8.7891E-3	6.1235E-1
8.8000E-5	9.7656E-3	6.4692E-1
8.9000E-5	9.7656E-3	6.7603E-1
9.0000E-5	9.5215E-3	6.9375E-1
9.1000E-5	9.0332E-3	7.0410E-1
9.2000E-5	9.7656E-3	7.0229E-1
9.3000E-5	9.7656E-3	6.9023E-1
9.4000E-5	9.5215E-3	6.6851E-1
9.5000E-5	8.7891E-3	6.3848E-1
9.6000E-5	9.5215E-3	5.9731E-1
9.7000E-5	9.7656E-3	5.5347E-1
9.8000E-5	1.0010E-2	5.0933E-1
9.9000E-5	1.0254E-2	4.6660E-1
1.0000E-4	9.2773E-3	4.3013E-1
1.0100E-4	9.5215E-3	4.0386E-1
1.0200E-4	1.0010E-2	3.8418E-1
1.0300E-4	9.7656E-3	3.7266E-1
1.0400E-4	9.7656E-3	3.6855E-1
1.0500E-4	1.0254E-2	3.7085E-1
1.0600E-4	9.2773E-3	3.7632E-1
1.0700E-4	9.5215E-3	3.8740E-1
1.0800E-4	1.0010E-2	4.0190E-1
1.0900E-4	1.0010E-2	4.2065E-1
1.1000E-4	1.0254E-2	4.4478E-1
1.1100E-4	9.5215E-3	4.7573E-1
1.1200E-4	9.7656E-3	5.1006E-1
1.1300E-4	9.5215E-3	5.5005E-1
1.1400E-4	9.2773E-3	5.9238E-1
1.1500E-4	9.7656E-3	6.3555E-1
1.1600E-4	9.7656E-3	6.7070E-1
1.1700E-4	9.5215E-3	6.9648E-1
1.1800E-4	9.5215E-3	7.0767E-1
1.1900E-4	9.7656E-3	7.0811E-1
1.2000E-4	9.2773E-3	6.9653E-1
1.2100E-4	1.0010E-2	6.7651E-1
1.2200E-4	9.7656E-3	6.4663E-1
1.2300E-4	1.0010E-2	6.1250E-1
1.2400E-4	9.7656E-3	5.7168E-1
1.2500E-4	8.7891E-3	5.2451E-1
1.2600E-4	1.0010E-2	4.7744E-1
1.2700E-4	1.0010E-2	4.3564E-1
1.2800E-4	9.5215E-3	3.9966E-1
1.2900E-4	9.7656E-3	3.7080E-1
1.3000E-4	9.5215E-3	3.5332E-1
1.3100E-4	9.2773E-3	3.4565E-1
1.3200E-4	9.5215E-3	3.4502E-1
1.3300E-4	1.0010E-2	3.4888E-1
1.3400E-4	8.7891E-3	3.5767E-1
1.3500E-4	9.7656E-3	3.6787E-1
1.3600E-4	9.7656E-3	3.8228E-1
1.3700E-4	1.0010E-2	4.0068E-1
1.3800E-4	9.5215E-3	4.2505E-1
1.3900E-4	9.7656E-3	4.5591E-1
1.4000E-4	9.2773E-3	4.9434E-1
1.4100E-4	9.5215E-3	5.3677E-1
1.4200E-4	9.5215E-3	5.8481E-1
1.4300E-4	9.7656E-3	6.3418E-1
1.4400E-4	9.5215E-3	6.8052E-1
1.4500E-4	9.7656E-3	7.1538E-1
1.4600E-4	9.7656E-3	7.3403E-1
1.4700E-4	1.0010E-2	7.3696E-1
1.4800E-4	1.0010E-2	7.2539E-1
1.4900E-4	9.0332E-3	7.0068E-1
1.5000E-4	9.0332E-3	6.6611E-1
1.5100E-4	9.2773E-3	6.2720E-1
1.5200E-4	9.5215E-3	5.8374E-1
1.5300E-4	9.0332E-3	5.3550E-1
1.5400E-4	9.5215E-3	4.8887E-1
1.5500E-4	1.0010E-2	4.4741E-1
1.5600E-4	1.0010E-2	4.1245E-1
1.5700E-4	1.0010E-2	3.8618E-1
1.5800E-4	1.0010E-2	3.7007E-1
1.5900E-4	9.2773E-3	3.6162E-1
1.6000E-4	1.0010E-2	3.6182E-1
1.6100E-4	9.2773E-3	3.6758E-1
1.6200E-4	1.0010E-2	3.7402E-1
1.6300E-4	9.5215E-3	3.8491E-1
1.6400E-4	1.0010E-2	3.9946E-1
1.6500E-4	9.5215E-3	4.1616E-1
1.6600E-4	1.0010E-2	4.3774E-1
1.6700E-4	1.0254E-2	4.6675E-1
1.6800E-4	1.0010E-2	4.9922E-1
1.6900E-4	1.0010E-2	5.3579E-1
1.7000E-4	1.0254E-2	5.7720E-1
1.7100E-4	9.0332E-3	6.2134E-1
1.7200E-4	9.5215E-3	6.6196E-1
1.7300E-4	9.2773E-3	6.9653E-1
1.7400E-4	9.0332E-3	7.1909E-1
1.7500E-4	9.2773E-3	7.2778E-1
1.7600E-4	9.5215E-3	7.2295E-1
1.7700E-4	9.5215E-3	7.0879E-1
1.7800E-4	9.7656E-3	6.8506E-1
1.7900E-4	9.0332E-3	6.5269E-1
1.8000E-4	9.5215E-3	6.1260E-1
1.8100E-4	1.0010E-2	5.6597E-1
1.8200E-4	1.0010E-2	5.1753E-1
1.8300E-4	9.5215E-3	4.6982E-1
1.8400E-4	9.7656E-3	4.2847E-1
1.8500E-4	9.2773E-3	3.9785E-1
1.8600E-4	1.0254E-2	3.7715E-1
1.8700E-4	9.5215E-3	3.6465E-1
1.8800E-4	9.7656E-3	3.6094E-1
1.8900E-4	1.0010E-2	3.6504E-1
1.9000E-4	1.0010E-2	3.7344E-1
1.9100E-4	9.5215E-3	3.8652E-1
1.9200E-4	9.5215E-3	4.0381E-1
1.9300E-4	9.7656E-3	4.2446E-1
1.9400E-4	9.5215E-3	4.4805E-1
1.9500E-4	9.7656E-3	4.7661E-1
1.9600E-4	9.7656E-3	5.0898E-1
1.9700E-4	9.0332E-3	5.4453E-1
1.9800E-4	9.5215E-3	5.8188E-1
1.9900E-4	9.5215E-3	6.2134E-1
2.0000E-4	9.5215E-3	6.5903E-1
2.0100E-4	1.0254E-2	6.9277E-1
2.0200E-4	9.7656E-3	7.1787E-1
2.0300E-4	9.5215E-3	7.3472E-1
2.0400E-4	9.2773E-3	7.4009E-1
2.0500E-4	9.2773E-3	7.3384E-1
2.0600E-4	9.5215E-3	7.1768E-1
2.0700E-4	9.2773E-3	6.9526E-1
2.0800E-4	9.2773E-3	6.6519E-1
2.0900E-4	1.0498E-2	6.3110E-1
2.1000E-4	1.0010E-2	5.9258E-1
2.1100E-4	8.7891E-3	5.5171E-1
2.1200E-4	9.5215E-3	5.1021E-1
2.1300E-4	9.5215E-3	4.7461E-1
2.1400E-4	9.7656E-3	4.4390E-1
2.1500E-4	9.7656E-3	4.2104E-1
2.1600E-4	8.7891E-3	4.0771E-1
2.1700E-4	9.7656E-3	4.0410E-1
2.1800E-4	9.5215E-3	4.0640E-1
2.1900E-4	9.2773E-3	4.1436E-1
2.2000E-4	9.2773E-3	4.2715E-1
2.2100E-4	9.2773E-3	4.4282E-1
2.2200E-4	9.5215E-3	4.6006E-1
2.2300E-4	9.0332E-3	4.7993E-1
2.2400E-4	9.5215E-3	5.0259E-1
2.2500E-4	9.5215E-3	5.2637E-1
2.2600E-4	9.7656E-3	5.5068E-1
2.2700E-4	9.5215E-3	5.7656E-1
2.2800E-4	1.0010E-2	6.0195E-1
2.2900E-4	9.7656E-3	6.2593E-1
2.3000E-4	8.7891E-3	6.5137E-1
2.3100E-4	9.5215E-3	6.7666E-1
2.3200E-4	1.0010E-2	6.9775E-1
2.3300E-4	9.5215E-3	7.1440E-1
2.3400E-4	9.5215E-3	7.2515E-1
2.3500E-4	9.0332E-3	7.2549E-1
2.3600E-4	9.5215E-3	7.1338E-1
2.3700E-4	9.7656E-3	6.9146E-1
2.3800E-4	9.0332E-3	6.6069E-1
2.3900E-4	9.5215E-3	6.2217E-1
2.4000E-4	9.2773E-3	5.8022E-1
2.4100E-4	1.0254E-2	5.4121E-1
2.4200E-4	9.7656E-3	5.0728E-1
2.4300E-4	9.5215E-3	4.7739E-1
2.4400E-4	1.0010E-2	4.5557E-1
2.4500E-4	9.7656E-3	4.4189E-1
2.4600E-4	9.7656E-3	4.3477E-1
2.4700E-4	9.7656E-3	4.3374E-1
2.4800E-4	1.0010E-2	4.3989E-1
2.4900E-4	9.2773E-3	4.5000E-1
2.5000E-4	9.2773E-3	4.6108E-1
2.5100E-4	9.5215E-3	4.7334E-1
2.5200E-4	9.2773E-3	4.8496E-1
2.5300E-4	9.5215E-3	4.9658E-1
2.5400E-4	9.7656E-3	5.0864E-1
2.5500E-4	9.7656E-3	5.2637E-1
2.5600E-4	9.7656E-3	5.4731E-1
2.5700E-4	9.2773E-3	5.7261E-1
2.5800E-4	9.7656E-3	6.0020E-1
2.5900E-4	9.7656E-3	6.3110E-1
2.6000E-4	9.5215E-3	6.6143E-1
2.6100E-4	1.0254E-2	6.8843E-1
2.6200E-4	9.5215E-3	7.1240E-1
2.6300E-4	9.0332E-3	7.2852E-1
2.6400E-4	9.7656E-3	7.3477E-1
2.6500E-4	9.7656E-3	7.2822E-1
2.6600E-4	9.2773E-3	7.1455E-1
2.6700E-4	9.7656E-3	6.9194E-1
2.6800E-4	1.0010E-2	6.6504E-1
2.6900E-4	1.0010E-2	6.3364E-1
2.7000E-4	9.7656E-3	6.0176E-1
2.7100E-4	1.0254E-2	5.6724E-1
2.7200E-4	9.5215E-3	5.3203E-1
2.7300E-4	9.7656E-3	4.9937E-1
2.7400E-4	9.0332E-3	4.7075E-1
2.7500E-4	9.5215E-3	4.4795E-1
2.7600E-4	9.7656E-3	4.3174E-1
2.7700E-4	9.5215E-3	4.2065E-1
2.7800E-4	9.2773E-3	4.1440E-1
2.7900E-4	9.2773E-3	4.1284E-1
2.8000E-4	9.7656E-3	4.1558E-1
2.8100E-4	1.0010E-2	4.2124E-1
2.8200E-4	9.5215E-3	4.2979E-1
2.8300E-4	9.2773E-3	4.4014E-1
2.8400E-4	9.7656E-3	4.5571E-1
2.8500E-4	9.2773E-3	4.7583E-1
2.8600E-4	9.5215E-3	4.9819E-1
2.8700E-4	9.5215E-3	5.2495E-1
2.8800E-4	1.0010E-2	5.5474E-1
2.8900E-4	9.5215E-3	5.8784E-1
2.9000E-4	9.5215E-3	6.2119E-1
2.9100E-4	8.7891E-3	6.5312E-1
2.9200E-4	9.5215E-3	6.8154E-1
2.9300E-4	1.0010E-2	7.0210E-1
2.9400E-4	1.0010E-2	7.1123E-1
2.9500E-4	9.2773E-3	7.1113E-1
2.9600E-4	9.5215E-3	7.0303E-1
2.9700E-4	1.0254E-2	6.8433E-1
2.9800E-4	9.7656E-3	6.5972E-1
2.9900E-4	9.2773E-3	6.2773E-1
3.0000E-4	9.5215E-3	5.8599E-1
3.0100E-4	9.2773E-3	5.4146E-1
3.0200E-4	9.7656E-3	5.0049E-1
3.0300E-4	9.0332E-3	4.6211E-1
3.0400E-4	9.5215E-3	4.3018E-1
3.0500E-4	9.0332E-3	4.0635E-1
3.0600E-4	9.2773E-3	3.8955E-1
3.0700E-4	9.2773E-3	3.7969E-1
3.0800E-4	9.0332E-3	3.7778E-1
3.0900E-4	9.7656E-3	3.8062E-1
3.1000E-4	9.2773E-3	3.8838E-1
3.1100E-4	9.5215E-3	4.0151E-1
3.1200E-4	9.5215E-3	4.1787E-1
3.1300E-4	9.7656E-3	4.3564E-1
3.1400E-4	9.7656E-3	4.5547E-1
3.1500E-4	9.2773E-3	4.8281E-1
3.1600E-4	9.5215E-3	5.1133E-1
3.1700E-4	9.0332E-3	5.4238E-1
3.1800E-4	9.5215E-3	5.8047E-1
3.1900E-4	9.5215E-3	6.2407E-1
3.2000E-4	9.7656E-3	6.6128E-1
3.2100E-4	1.0254E-2	6.9351E-1
3.2200E-4	1.0010E-2	7.1680E-1
3.2300E-4	9.7656E-3	7.2446E-1
3.2400E-4	9.7656E-3	7.1548E-1
3.2500E-4	1.0010E-2	6.9604E-1
3.2600E-4	9.0332E-3	6.6655E-1
3.2700E-4	9.7656E-3	6.2598E-1
3.2800E-4	9.7656E-3	5.7939E-1
3.2900E-4	1.0010E-2	5.2959E-1
3.3000E-4	9.7656E-3	4.7930E-1
3.3100E-4	9.7656E-3	4.3271E-1
3.3200E-4	9.2773E-3	3.9292E-1
3.3300E-4	1.0010E-2	3.6284E-1
3.3400E-4	9.7656E-3	3.4316E-1
3.3500E-4	1.0010E-2	3.3462E-1
3.3600E-4	9.2773E-3	3.3276E-1
3.3700E-4	9.2773E-3	3.3667E-1
3.3800E-4	1.0498E-2	3.4468E-1
3.3900E-4	9.7656E-3	3.5635E-1
3.4000E-4	9.7656E-3	3.6929E-1
3.4100E-4	9.5215E-3	3.8408E-1
3.4200E-4	8.7891E-3	4.0244E-1
3.4300E-4	9.2773E-3	4.2515E-1
3.4400E-4	9.2773E-3	4.5181E-1
3.4500E-4	9.5215E-3	4.8423E-1
3.4600E-4	1.0254E-2	5.2441E-1
3.4700E-4	9.2773E-3	5.6963E-1
3.4800E-4	9.0332E-3	6.1587E-1
3.4900E-4	9.2773E-3	6.5620E-1
3.5000E-4	9.2773E-3	6.8701E-1
3.5100E-4	9.0332E-3	7.0410E-1
3.5200E-4	1.0254E-2	7.0752E-1
3.5300E-4	1.0254E-2	6.9868E-1
3.5400E-4	9.7656E-3	6.7935E-1
3.5500E-4	9.7656E-3	6.4922E-1
3.5600E-4	9.2773E-3	6.1084E-1
3.5700E-4	8.7891E-3	5.6479E-1
3.5800E-4	9.2773E-3	5.1279E-1
3.5900E-4	8.5449E-3	4.6318E-1
3.6000E-4	9.7656E-3	4.1919E-1
3.6100E-4	1.0010E-2	3.8398E-1
3.6200E-4	9.0332E-3	3.5942E-1
3.6300E-4	9.2773E-3	3.4438E-1
3.6400E-4	9.7656E-3	3.3784E-1
3.6500E-4	1.0742E-2	3.3989E-1
3.6600E-4	9.5215E-3	3.4634E-1
3.6700E-4	9.5215E-3	3.5781E-1
3.6800E-4	9.2773E-3	3.7427E-1
3.6900E-4	1.0010E-2	3.9370E-1
3.7000E-4	9.2773E-3	4.1577E-1
3.7100E-4	9.0332E-3	4.4346E-1
3.7200E-4	9.2773E-3	4.7739E-1
3.7300E-4	9.7656E-3	5.1475E-1
