Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.7656E-3	-9.5703E-3
1.0000E-8	9.5215E-3	-9.7168E-3
2.0000E-8	1.0010E-2	-9.8145E-3
3.0000E-8	9.2773E-3	-9.7168E-3
4.0000E-8	9.7656E-3	-9.3262E-3
5.0000E-8	9.2773E-3	-9.3262E-3
6.0000E-8	9.7656E-3	-9.2773E-3
7.0000E-8	9.2773E-3	-9.2773E-3
8.0000E-8	9.7656E-3	-9.7168E-3
9.0000E-8	9.2773E-3	-1.0205E-2
1.0000E-7	9.5215E-3	-1.0059E-2
1.1000E-7	9.2773E-3	-9.3262E-3
1.2000E-7	9.0332E-3	-9.0332E-3
1.3000E-7	9.5215E-3	-8.0566E-3
1.4000E-7	8.3008E-3	-7.6172E-3
1.5000E-7	9.5215E-3	-7.7148E-3
1.6000E-7	1.0010E-2	-8.1055E-3
1.7000E-7	9.5215E-3	-8.2031E-3
1.8000E-7	9.7656E-3	-8.5938E-3
1.9000E-7	9.5215E-3	-8.4961E-3
2.0000E-7	9.2773E-3	-7.9590E-3
2.1000E-7	9.7656E-3	-7.6660E-3
2.2000E-7	9.2773E-3	-7.6172E-3
2.3000E-7	1.0254E-2	-7.5195E-3
2.4000E-7	9.7656E-3	-7.1289E-3
2.5000E-7	9.7656E-3	-6.9336E-3
2.6000E-7	9.2773E-3	-7.0313E-3
2.7000E-7	9.5215E-3	-7.0313E-3
2.8000E-7	9.0332E-3	-7.8125E-3
2.9000E-7	9.7656E-3	-8.4961E-3
3.0000E-7	1.0010E-2	-8.8379E-3
3.1000E-7	1.0010E-2	-8.5938E-3
3.2000E-7	9.7656E-3	-8.6426E-3
3.3000E-7	9.5215E-3	-8.3008E-3
3.4000E-7	9.7656E-3	-8.1055E-3
3.5000E-7	9.5215E-3	-8.0078E-3
3.6000E-7	9.2773E-3	-8.0566E-3
3.7000E-7	9.5215E-3	-8.0566E-3
3.8000E-7	1.0010E-2	-7.7637E-3
3.9000E-7	9.0332E-3	-7.2754E-3
4.0000E-7	1.0254E-2	-6.7871E-3
4.1000E-7	9.5215E-3	-7.2266E-3
4.2000E-7	1.0010E-2	-7.2754E-3
4.3000E-7	9.7656E-3	-7.2754E-3
4.4000E-7	9.2773E-3	-7.6172E-3
4.5000E-7	9.7656E-3	-7.6660E-3
4.6000E-7	9.5215E-3	-7.5195E-3
4.7000E-7	9.2773E-3	-7.4219E-3
4.8000E-7	9.7656E-3	-7.0801E-3
4.9000E-7	9.0332E-3	-6.6895E-3
5.0000E-7	1.0010E-2	-6.8848E-3
5.1000E-7	9.7656E-3	-6.4453E-3
5.2000E-7	9.5215E-3	-6.1035E-3
5.3000E-7	9.5215E-3	-6.3477E-3
5.4000E-7	9.7656E-3	-6.5430E-3
5.5000E-7	9.0332E-3	-7.0801E-3
5.6000E-7	9.0332E-3	-7.4219E-3
5.7000E-7	9.7656E-3	-7.5195E-3
5.8000E-7	9.2773E-3	-7.2266E-3
5.9000E-7	9.7656E-3	-7.4219E-3
6.0000E-7	9.7656E-3	-7.1777E-3
6.1000E-7	9.0332E-3	-6.8848E-3
6.2000E-7	9.0332E-3	-7.0801E-3
6.3000E-7	9.2773E-3	-7.1289E-3
6.4000E-7	9.0332E-3	-6.9336E-3
6.5000E-7	8.7891E-3	-6.6895E-3
6.6000E-7	9.2773E-3	-6.7871E-3
6.7000E-7	8.7891E-3	-6.3477E-3
6.8000E-7	9.2773E-3	-6.4941E-3
6.9000E-7	9.5215E-3	-6.3477E-3
7.0000E-7	1.0010E-2	-6.3965E-3
7.1000E-7	9.5215E-3	-6.6406E-3
7.2000E-7	9.5215E-3	-7.0313E-3
7.3000E-7	1.0010E-2	-6.8359E-3
7.4000E-7	9.7656E-3	-6.5918E-3
7.5000E-7	9.0332E-3	-6.5918E-3
7.6000E-7	9.7656E-3	-6.3965E-3
7.7000E-7	8.7891E-3	-5.7617E-3
7.8000E-7	9.2773E-3	-5.5176E-3
7.9000E-7	9.0332E-3	-5.7617E-3
8.0000E-7	9.5215E-3	-6.1035E-3
8.1000E-7	9.2773E-3	-6.3477E-3
8.2000E-7	9.0332E-3	-6.7871E-3
8.3000E-7	9.2773E-3	-7.2754E-3
8.4000E-7	9.0332E-3	-7.3730E-3
8.5000E-7	9.2773E-3	-7.0801E-3
8.6000E-7	9.5215E-3	-6.8848E-3
8.7000E-7	9.0332E-3	-6.8359E-3
8.8000E-7	8.7891E-3	-6.5430E-3
8.9000E-7	9.5215E-3	-6.4941E-3
9.0000E-7	9.5215E-3	-6.7871E-3
9.1000E-7	9.5215E-3	-7.0801E-3
9.2000E-7	8.7891E-3	-7.0801E-3
9.3000E-7	9.0332E-3	-6.9336E-3
9.4000E-7	9.2773E-3	-6.7383E-3
9.5000E-7	9.7656E-3	-6.1523E-3
9.6000E-7	9.0332E-3	-5.5176E-3
9.7000E-7	9.5215E-3	-5.1758E-3
9.8000E-7	9.7656E-3	-5.2734E-3
9.9000E-7	9.2773E-3	-5.3223E-3
1.0000E-6	9.0332E-3	-5.7617E-3
1.0100E-6	1.0010E-2	-6.1523E-3
1.0200E-6	9.5215E-3	-6.5430E-3
1.0300E-6	9.5215E-3	-6.4453E-3
1.0400E-6	1.0010E-2	-6.4941E-3
1.0500E-6	9.5215E-3	-6.2012E-3
1.0600E-6	1.0010E-2	-5.8105E-3
1.0700E-6	9.5215E-3	-5.7617E-3
1.0800E-6	9.7656E-3	-6.2012E-3
