Time [s]	Aux in [V]	Main in [V]
0.0000E+0	1.0498E-2	-2.5649E-1
1.0000E-6	8.5449E-3	-2.5547E-1
2.0000E-6	1.0010E-2	-2.5513E-1
3.0000E-6	9.7656E-3	-2.5342E-1
4.0000E-6	9.2773E-3	-2.5161E-1
5.0000E-6	1.0254E-2	-2.5278E-1
6.0000E-6	9.7656E-3	-2.5566E-1
7.0000E-6	9.2773E-3	-2.5913E-1
8.0000E-6	1.0010E-2	-2.6309E-1
9.0000E-6	9.7656E-3	-2.6411E-1
1.0000E-5	9.5215E-3	-2.6162E-1
1.1000E-5	9.5215E-3	-2.5332E-1
1.2000E-5	9.7656E-3	-2.3916E-1
1.3000E-5	9.7656E-3	-2.1992E-1
1.4000E-5	9.0332E-3	-1.9448E-1
1.5000E-5	9.7656E-3	-1.6001E-1
1.6000E-5	9.7656E-3	-1.1938E-1
1.7000E-5	1.0498E-2	-7.0459E-2
1.8000E-5	9.5215E-3	-1.1133E-2
1.9000E-5	9.7656E-3	5.9814E-2
2.0000E-5	9.2773E-3	1.4233E-1
2.1000E-5	9.5215E-3	2.3555E-1
2.2000E-5	9.7656E-3	3.3652E-1
2.3000E-5	9.7656E-3	4.3423E-1
2.4000E-5	9.7656E-3	5.1753E-1
2.5000E-5	9.5215E-3	5.7578E-1
2.6000E-5	1.0010E-2	6.0313E-1
2.7000E-5	9.5215E-3	5.9727E-1
2.8000E-5	9.7656E-3	5.6162E-1
2.9000E-5	9.5215E-3	5.0298E-1
3.0000E-5	9.5215E-3	4.3120E-1
3.1000E-5	9.0332E-3	3.5493E-1
3.2000E-5	9.2773E-3	2.8169E-1
3.3000E-5	1.0010E-2	2.1934E-1
3.4000E-5	1.0010E-2	1.7124E-1
3.5000E-5	1.0010E-2	1.4155E-1
3.6000E-5	1.0010E-2	1.2700E-1
3.7000E-5	9.7656E-3	1.2646E-1
3.8000E-5	1.0010E-2	1.3579E-1
3.9000E-5	9.5215E-3	1.5366E-1
4.0000E-5	9.5215E-3	1.7603E-1
4.1000E-5	1.0254E-2	2.0259E-1
4.2000E-5	1.0498E-2	2.2915E-1
4.3000E-5	9.5215E-3	2.5928E-1
4.4000E-5	9.2773E-3	2.8721E-1
4.5000E-5	9.5215E-3	3.1221E-1
4.6000E-5	9.7656E-3	3.3638E-1
4.7000E-5	1.0010E-2	3.6294E-1
4.8000E-5	9.5215E-3	3.8950E-1
4.9000E-5	1.0010E-2	4.1646E-1
5.0000E-5	1.0010E-2	4.4424E-1
5.1000E-5	9.7656E-3	4.6899E-1
5.2000E-5	9.5215E-3	4.8892E-1
5.3000E-5	1.0010E-2	5.0151E-1
5.4000E-5	9.7656E-3	5.0854E-1
5.5000E-5	9.7656E-3	5.1162E-1
5.6000E-5	1.0254E-2	5.1001E-1
5.7000E-5	9.2773E-3	5.0078E-1
5.8000E-5	9.7656E-3	4.8555E-1
5.9000E-5	1.0010E-2	4.6938E-1
6.0000E-5	1.0010E-2	4.4858E-1
6.1000E-5	9.5215E-3	4.2949E-1
6.2000E-5	1.0010E-2	4.1245E-1
6.3000E-5	9.5215E-3	3.9863E-1
6.4000E-5	9.5215E-3	3.8521E-1
6.5000E-5	9.7656E-3	3.7285E-1
6.6000E-5	9.5215E-3	3.5889E-1
6.7000E-5	9.5215E-3	3.4600E-1
6.8000E-5	1.0010E-2	3.3584E-1
6.9000E-5	1.0254E-2	3.2769E-1
7.0000E-5	9.5215E-3	3.2500E-1
7.1000E-5	9.5215E-3	3.2710E-1
7.2000E-5	1.0254E-2	3.3574E-1
7.3000E-5	9.0332E-3	3.4692E-1
7.4000E-5	9.7656E-3	3.6465E-1
7.5000E-5	9.7656E-3	3.8691E-1
7.6000E-5	9.5215E-3	4.1362E-1
7.7000E-5	9.0332E-3	4.4175E-1
7.8000E-5	1.0010E-2	4.7065E-1
7.9000E-5	9.5215E-3	4.9727E-1
8.0000E-5	9.5215E-3	5.2046E-1
8.1000E-5	1.0254E-2	5.3848E-1
8.2000E-5	1.0010E-2	5.5127E-1
8.3000E-5	9.5215E-3	5.6089E-1
8.4000E-5	9.5215E-3	5.6279E-1
8.5000E-5	9.7656E-3	5.6099E-1
8.6000E-5	1.0010E-2	5.5566E-1
8.7000E-5	9.7656E-3	5.4478E-1
8.8000E-5	1.0010E-2	5.3066E-1
8.9000E-5	1.0010E-2	5.1836E-1
9.0000E-5	9.2773E-3	5.0313E-1
9.1000E-5	9.5215E-3	4.8345E-1
9.2000E-5	9.5215E-3	4.6367E-1
9.3000E-5	9.0332E-3	4.4033E-1
9.4000E-5	9.2773E-3	4.1294E-1
9.5000E-5	9.7656E-3	3.8262E-1
9.6000E-5	9.5215E-3	3.5625E-1
9.7000E-5	9.7656E-3	3.3242E-1
9.8000E-5	9.7656E-3	3.1416E-1
9.9000E-5	9.7656E-3	3.0278E-1
1.0000E-4	9.7656E-3	3.0000E-1
1.0100E-4	9.5215E-3	3.0322E-1
1.0200E-4	1.0254E-2	3.1211E-1
1.0300E-4	9.5215E-3	3.2666E-1
1.0400E-4	9.7656E-3	3.4526E-1
1.0500E-4	9.2773E-3	3.6870E-1
1.0600E-4	9.7656E-3	3.9790E-1
1.0700E-4	9.5215E-3	4.3267E-1
1.0800E-4	9.2773E-3	4.6978E-1
1.0900E-4	9.5215E-3	5.0811E-1
1.1000E-4	9.2773E-3	5.4365E-1
1.1100E-4	9.5215E-3	5.7163E-1
1.1200E-4	9.2773E-3	5.9160E-1
1.1300E-4	9.5215E-3	6.0142E-1
1.1400E-4	1.0010E-2	6.0127E-1
1.1500E-4	9.7656E-3	5.9302E-1
1.1600E-4	9.5215E-3	5.7700E-1
1.1700E-4	9.5215E-3	5.5391E-1
1.1800E-4	9.5215E-3	5.2471E-1
1.1900E-4	9.5215E-3	4.9292E-1
1.2000E-4	9.7656E-3	4.5811E-1
1.2100E-4	9.7656E-3	4.2456E-1
1.2200E-4	1.0254E-2	3.9146E-1
1.2300E-4	9.2773E-3	3.6274E-1
1.2400E-4	9.2773E-3	3.3691E-1
1.2500E-4	9.7656E-3	3.1709E-1
1.2600E-4	1.0010E-2	3.0044E-1
1.2700E-4	9.5215E-3	2.9048E-1
1.2800E-4	9.7656E-3	2.8599E-1
1.2900E-4	9.5215E-3	2.8887E-1
1.3000E-4	9.2773E-3	2.9717E-1
1.3100E-4	9.2773E-3	3.1338E-1
1.3200E-4	9.7656E-3	3.3857E-1
1.3300E-4	9.5215E-3	3.7139E-1
1.3400E-4	9.5215E-3	4.0977E-1
1.3500E-4	9.0332E-3	4.5259E-1
1.3600E-4	9.5215E-3	4.9741E-1
1.3700E-4	9.2773E-3	5.3955E-1
1.3800E-4	9.7656E-3	5.7314E-1
1.3900E-4	9.0332E-3	5.9785E-1
1.4000E-4	9.0332E-3	6.1211E-1
1.4100E-4	9.7656E-3	6.1499E-1
1.4200E-4	9.7656E-3	6.0557E-1
1.4300E-4	9.7656E-3	5.9038E-1
1.4400E-4	9.7656E-3	5.6396E-1
1.4500E-4	1.0010E-2	5.3013E-1
1.4600E-4	1.0010E-2	4.8794E-1
1.4700E-4	1.0010E-2	4.4185E-1
1.4800E-4	1.0010E-2	3.9326E-1
1.4900E-4	1.0010E-2	3.4717E-1
1.5000E-4	1.0254E-2	3.0508E-1
1.5100E-4	9.7656E-3	2.7119E-1
1.5200E-4	9.5215E-3	2.4443E-1
1.5300E-4	9.5215E-3	2.2710E-1
1.5400E-4	9.5215E-3	2.2070E-1
1.5500E-4	9.0332E-3	2.2202E-1
1.5600E-4	9.7656E-3	2.2881E-1
1.5700E-4	9.2773E-3	2.4248E-1
1.5800E-4	9.5215E-3	2.6104E-1
1.5900E-4	9.0332E-3	2.8125E-1
1.6000E-4	9.7656E-3	3.0752E-1
1.6100E-4	9.7656E-3	3.4263E-1
1.6200E-4	9.5215E-3	3.8564E-1
1.6300E-4	9.7656E-3	4.3623E-1
1.6400E-4	9.5215E-3	4.9219E-1
1.6500E-4	1.0010E-2	5.4712E-1
1.6600E-4	1.0742E-2	5.9468E-1
1.6700E-4	9.0332E-3	6.2827E-1
1.6800E-4	9.5215E-3	6.4385E-1
1.6900E-4	1.0010E-2	6.4204E-1
1.7000E-4	1.0254E-2	6.2480E-1
1.7100E-4	1.0010E-2	5.9546E-1
1.7200E-4	9.5215E-3	5.5811E-1
1.7300E-4	9.2773E-3	5.1484E-1
1.7400E-4	1.0498E-2	4.6924E-1
1.7500E-4	9.2773E-3	4.1968E-1
1.7600E-4	9.5215E-3	3.6992E-1
1.7700E-4	9.7656E-3	3.2363E-1
1.7800E-4	9.2773E-3	2.8257E-1
1.7900E-4	9.0332E-3	2.4839E-1
1.8000E-4	1.0498E-2	2.2480E-1
1.8100E-4	1.0010E-2	2.0977E-1
1.8200E-4	9.5215E-3	2.0444E-1
1.8300E-4	9.2773E-3	2.0981E-1
1.8400E-4	9.7656E-3	2.2144E-1
1.8500E-4	9.2773E-3	2.4092E-1
1.8600E-4	9.5215E-3	2.6646E-1
1.8700E-4	1.0254E-2	2.9678E-1
1.8800E-4	9.7656E-3	3.3232E-1
1.8900E-4	9.2773E-3	3.7788E-1
1.9000E-4	1.0010E-2	4.2979E-1
1.9100E-4	9.5215E-3	4.8755E-1
1.9200E-4	1.0010E-2	5.4673E-1
1.9300E-4	9.7656E-3	5.9731E-1
1.9400E-4	1.0010E-2	6.3125E-1
1.9500E-4	9.2773E-3	6.4736E-1
1.9600E-4	9.7656E-3	6.4287E-1
1.9700E-4	9.5215E-3	6.2041E-1
1.9800E-4	9.2773E-3	5.8594E-1
1.9900E-4	9.2773E-3	5.4023E-1
2.0000E-4	9.5215E-3	4.8613E-1
2.0100E-4	9.5215E-3	4.2812E-1
2.0200E-4	9.2773E-3	3.6743E-1
2.0300E-4	9.2773E-3	3.0659E-1
2.0400E-4	9.7656E-3	2.5195E-1
2.0500E-4	1.0010E-2	2.0610E-1
2.0600E-4	9.0332E-3	1.7280E-1
2.0700E-4	9.5215E-3	1.5181E-1
2.0800E-4	9.2773E-3	1.4268E-1
2.0900E-4	1.0498E-2	1.4673E-1
2.1000E-4	9.7656E-3	1.5854E-1
2.1100E-4	9.2773E-3	1.7637E-1
2.1200E-4	9.7656E-3	1.9795E-1
2.1300E-4	1.0254E-2	2.2769E-1
2.1400E-4	1.0010E-2	2.6045E-1
2.1500E-4	9.7656E-3	3.0044E-1
2.1600E-4	9.7656E-3	3.4727E-1
2.1700E-4	9.0332E-3	3.9917E-1
2.1800E-4	9.5215E-3	4.5361E-1
2.1900E-4	9.5215E-3	5.1377E-1
2.2000E-4	9.5215E-3	5.6978E-1
