Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.7656E-3	-2.8052E-1
1.0000E-6	9.2773E-3	-2.8354E-1
2.0000E-6	9.2773E-3	-2.8979E-1
3.0000E-6	9.5215E-3	-2.9590E-1
4.0000E-6	1.0010E-2	-3.0171E-1
5.0000E-6	9.2773E-3	-3.0366E-1
6.0000E-6	9.5215E-3	-3.0762E-1
7.0000E-6	9.5215E-3	-3.0786E-1
8.0000E-6	9.5215E-3	-3.0786E-1
9.0000E-6	9.5215E-3	-3.0547E-1
1.0000E-5	9.5215E-3	-3.0659E-1
1.1000E-5	1.0498E-2	-3.0454E-1
1.2000E-5	9.5215E-3	-3.0103E-1
1.3000E-5	9.2773E-3	-2.9561E-1
1.4000E-5	1.0254E-2	-2.8921E-1
1.5000E-5	9.2773E-3	-2.7881E-1
1.6000E-5	9.5215E-3	-2.6626E-1
1.7000E-5	9.2773E-3	-2.4761E-1
1.8000E-5	9.5215E-3	-2.2314E-1
1.9000E-5	1.0010E-2	-1.9019E-1
2.0000E-5	9.5215E-3	-1.4756E-1
2.1000E-5	9.5215E-3	-9.4238E-2
2.2000E-5	9.5215E-3	-3.2422E-2
2.3000E-5	9.7656E-3	4.1797E-2
2.4000E-5	1.0254E-2	1.2847E-1
2.5000E-5	9.5215E-3	2.3037E-1
2.6000E-5	9.5215E-3	3.3955E-1
2.7000E-5	9.5215E-3	4.4741E-1
2.8000E-5	9.7656E-3	5.3960E-1
2.9000E-5	9.2773E-3	6.0317E-1
3.0000E-5	9.7656E-3	6.2939E-1
3.1000E-5	1.0010E-2	6.1650E-1
3.2000E-5	9.2773E-3	5.6758E-1
3.3000E-5	9.5215E-3	4.9644E-1
3.4000E-5	9.2773E-3	4.1602E-1
3.5000E-5	1.0010E-2	3.3428E-1
3.6000E-5	9.2773E-3	2.5942E-1
3.7000E-5	1.0010E-2	1.9824E-1
3.8000E-5	9.5215E-3	1.5239E-1
3.9000E-5	9.5215E-3	1.1924E-1
4.0000E-5	9.5215E-3	1.0039E-1
4.1000E-5	9.5215E-3	9.6191E-2
4.2000E-5	9.2773E-3	1.0391E-1
4.3000E-5	9.2773E-3	1.1685E-1
4.4000E-5	9.5215E-3	1.3838E-1
4.5000E-5	9.5215E-3	1.6523E-1
4.6000E-5	1.0254E-2	1.9375E-1
4.7000E-5	9.5215E-3	2.2524E-1
4.8000E-5	1.0254E-2	2.5962E-1
4.9000E-5	9.2773E-3	2.9214E-1
5.0000E-5	9.5215E-3	3.2271E-1
5.1000E-5	9.5215E-3	3.5313E-1
5.2000E-5	9.7656E-3	3.8232E-1
5.3000E-5	9.2773E-3	4.1069E-1
5.4000E-5	1.0010E-2	4.3950E-1
5.5000E-5	9.5215E-3	4.6499E-1
5.6000E-5	9.7656E-3	4.8701E-1
5.7000E-5	9.2773E-3	5.0283E-1
5.8000E-5	9.5215E-3	5.1191E-1
5.9000E-5	9.0332E-3	5.1069E-1
6.0000E-5	9.5215E-3	5.0410E-1
6.1000E-5	9.5215E-3	4.9048E-1
6.2000E-5	8.7891E-3	4.7163E-1
6.3000E-5	9.7656E-3	4.5059E-1
6.4000E-5	9.7656E-3	4.3032E-1
6.5000E-5	9.2773E-3	4.0659E-1
6.6000E-5	1.0254E-2	3.8413E-1
6.7000E-5	8.7891E-3	3.6396E-1
6.8000E-5	9.5215E-3	3.4526E-1
6.9000E-5	9.2773E-3	3.2910E-1
7.0000E-5	9.5215E-3	3.1772E-1
7.1000E-5	9.2773E-3	3.0830E-1
7.2000E-5	1.0254E-2	3.0059E-1
7.3000E-5	9.5215E-3	2.9561E-1
7.4000E-5	9.5215E-3	2.9326E-1
7.5000E-5	9.5215E-3	2.9385E-1
7.6000E-5	9.7656E-3	2.9746E-1
7.7000E-5	9.2773E-3	3.0630E-1
7.8000E-5	9.5215E-3	3.1934E-1
7.9000E-5	9.5215E-3	3.3564E-1
8.0000E-5	9.7656E-3	3.5615E-1
8.1000E-5	9.5215E-3	3.7856E-1
8.2000E-5	9.7656E-3	4.0327E-1
8.3000E-5	9.5215E-3	4.2964E-1
8.4000E-5	1.0254E-2	4.5747E-1
8.5000E-5	9.2773E-3	4.8359E-1
8.6000E-5	9.7656E-3	5.0815E-1
8.7000E-5	1.0010E-2	5.2515E-1
8.8000E-5	9.2773E-3	5.3354E-1
8.9000E-5	9.2773E-3	5.3501E-1
9.0000E-5	1.0010E-2	5.3052E-1
9.1000E-5	9.2773E-3	5.1963E-1
9.2000E-5	9.5215E-3	5.0635E-1
9.3000E-5	9.7656E-3	4.8984E-1
9.4000E-5	9.2773E-3	4.6948E-1
9.5000E-5	9.2773E-3	4.4468E-1
9.6000E-5	1.0010E-2	4.1772E-1
9.7000E-5	9.7656E-3	3.8926E-1
9.8000E-5	9.5215E-3	3.6235E-1
9.9000E-5	9.2773E-3	3.3540E-1
1.0000E-4	9.7656E-3	3.1284E-1
1.0100E-4	9.2773E-3	2.9595E-1
1.0200E-4	9.7656E-3	2.8145E-1
1.0300E-4	9.2773E-3	2.7046E-1
1.0400E-4	8.7891E-3	2.6475E-1
1.0500E-4	9.2773E-3	2.6343E-1
1.0600E-4	9.2773E-3	2.6729E-1
1.0700E-4	9.5215E-3	2.7939E-1
1.0800E-4	9.5215E-3	2.9629E-1
1.0900E-4	9.5215E-3	3.1821E-1
1.1000E-4	9.5215E-3	3.4546E-1
1.1100E-4	9.2773E-3	3.7759E-1
1.1200E-4	1.0010E-2	4.1055E-1
1.1300E-4	9.5215E-3	4.4653E-1
1.1400E-4	9.2773E-3	4.8242E-1
1.1500E-4	1.0010E-2	5.1245E-1
1.1600E-4	9.7656E-3	5.3169E-1
1.1700E-4	9.5215E-3	5.4395E-1
1.1800E-4	9.0332E-3	5.4512E-1
1.1900E-4	1.0254E-2	5.3735E-1
1.2000E-4	9.5215E-3	5.2300E-1
1.2100E-4	9.5215E-3	5.0566E-1
1.2200E-4	9.7656E-3	4.8481E-1
1.2300E-4	9.5215E-3	4.6299E-1
1.2400E-4	1.0010E-2	4.3789E-1
1.2500E-4	9.0332E-3	4.0859E-1
1.2600E-4	9.5215E-3	3.7930E-1
1.2700E-4	9.5215E-3	3.5015E-1
1.2800E-4	9.7656E-3	3.2046E-1
1.2900E-4	9.2773E-3	2.9575E-1
1.3000E-4	9.2773E-3	2.7734E-1
1.3100E-4	9.2773E-3	2.6514E-1
1.3200E-4	1.0010E-2	2.5942E-1
1.3300E-4	9.7656E-3	2.6187E-1
1.3400E-4	1.0010E-2	2.7070E-1
1.3500E-4	9.7656E-3	2.8818E-1
1.3600E-4	9.5215E-3	3.1011E-1
1.3700E-4	9.7656E-3	3.3730E-1
1.3800E-4	1.0010E-2	3.6743E-1
1.3900E-4	9.2773E-3	4.0073E-1
1.4000E-4	1.0498E-2	4.3545E-1
1.4100E-4	8.5449E-3	4.6738E-1
1.4200E-4	9.0332E-3	4.9351E-1
1.4300E-4	9.2773E-3	5.1528E-1
1.4400E-4	9.5215E-3	5.2769E-1
1.4500E-4	1.0010E-2	5.3096E-1
1.4600E-4	9.5215E-3	5.2803E-1
1.4700E-4	1.0010E-2	5.1914E-1
1.4800E-4	9.5215E-3	5.0220E-1
1.4900E-4	9.2773E-3	4.8052E-1
1.5000E-4	9.5215E-3	4.5200E-1
1.5100E-4	9.2773E-3	4.1929E-1
1.5200E-4	9.7656E-3	3.8203E-1
1.5300E-4	9.2773E-3	3.4482E-1
1.5400E-4	9.2773E-3	3.0610E-1
1.5500E-4	9.5215E-3	2.7158E-1
1.5600E-4	9.5215E-3	2.4097E-1
1.5700E-4	9.2773E-3	2.1685E-1
1.5800E-4	9.5215E-3	1.9868E-1
1.5900E-4	9.7656E-3	1.8911E-1
1.6000E-4	9.7656E-3	1.8755E-1
1.6100E-4	9.5215E-3	1.9468E-1
1.6200E-4	9.7656E-3	2.0903E-1
1.6300E-4	9.5215E-3	2.2998E-1
1.6400E-4	9.5215E-3	2.6030E-1
1.6500E-4	1.0010E-2	2.9673E-1
1.6600E-4	9.2773E-3	3.3701E-1
1.6700E-4	9.2773E-3	3.8330E-1
1.6800E-4	1.0010E-2	4.3169E-1
1.6900E-4	9.7656E-3	4.7568E-1
