Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.2773E-3	7.9346E-2
1.0000E-6	1.0254E-2	8.3301E-2
2.0000E-6	9.0332E-3	8.6426E-2
3.0000E-6	9.7656E-3	8.8818E-2
4.0000E-6	1.0010E-2	9.0430E-2
5.0000E-6	1.0010E-2	9.0771E-2
6.0000E-6	9.2773E-3	8.8428E-2
7.0000E-6	9.5215E-3	8.8232E-2
8.0000E-6	9.5215E-3	8.6182E-2
9.0000E-6	1.0254E-2	8.1250E-2
1.0000E-5	9.2773E-3	7.7051E-2
1.1000E-5	9.2773E-3	7.3047E-2
1.2000E-5	9.5215E-3	6.8213E-2
1.3000E-5	9.7656E-3	6.6016E-2
1.4000E-5	1.0498E-2	6.6602E-2
1.5000E-5	1.0254E-2	6.7139E-2
1.6000E-5	9.5215E-3	7.0215E-2
1.7000E-5	1.0010E-2	7.2852E-2
1.8000E-5	1.0254E-2	7.6807E-2
1.9000E-5	1.0010E-2	8.0664E-2
2.0000E-5	1.0010E-2	8.8428E-2
2.1000E-5	9.7656E-3	9.6777E-2
2.2000E-5	9.5215E-3	1.0796E-1
2.3000E-5	1.0010E-2	1.2329E-1
2.4000E-5	9.5215E-3	1.4692E-1
2.5000E-5	9.7656E-3	1.7495E-1
2.6000E-5	1.0010E-2	2.1240E-1
2.7000E-5	9.2773E-3	2.6338E-1
2.8000E-5	9.2773E-3	3.3047E-1
2.9000E-5	9.7656E-3	4.1260E-1
3.0000E-5	9.2773E-3	5.1475E-1
3.1000E-5	1.0254E-2	6.3340E-1
3.2000E-5	9.7656E-3	7.5708E-1
3.3000E-5	9.7656E-3	8.6763E-1
3.4000E-5	9.5215E-3	9.5264E-1
3.5000E-5	9.2773E-3	9.9736E-1
3.6000E-5	1.0010E-2	9.9614E-1
3.7000E-5	9.7656E-3	9.5059E-1
3.8000E-5	1.0010E-2	8.7314E-1
3.9000E-5	9.2773E-3	7.7632E-1
4.0000E-5	1.0010E-2	6.7568E-1
4.1000E-5	1.0010E-2	5.7979E-1
4.2000E-5	9.0332E-3	4.9995E-1
4.3000E-5	9.2773E-3	4.3892E-1
4.4000E-5	9.5215E-3	3.9902E-1
4.5000E-5	9.7656E-3	3.7778E-1
4.6000E-5	1.0254E-2	3.7534E-1
4.7000E-5	1.0010E-2	3.8643E-1
4.8000E-5	9.7656E-3	4.0859E-1
4.9000E-5	9.7656E-3	4.3755E-1
5.0000E-5	9.5215E-3	4.7173E-1
5.1000E-5	1.0498E-2	5.0874E-1
5.2000E-5	9.5215E-3	5.4971E-1
5.3000E-5	9.7656E-3	5.9424E-1
5.4000E-5	9.7656E-3	6.4131E-1
5.5000E-5	1.0010E-2	6.9346E-1
5.6000E-5	9.7656E-3	7.4946E-1
5.7000E-5	9.2773E-3	8.0757E-1
5.8000E-5	9.7656E-3	8.6387E-1
5.9000E-5	9.5215E-3	9.1313E-1
6.0000E-5	9.7656E-3	9.4863E-1
6.1000E-5	9.7656E-3	9.6562E-1
6.2000E-5	9.2773E-3	9.6318E-1
6.3000E-5	9.5215E-3	9.4170E-1
6.4000E-5	9.7656E-3	9.0820E-1
6.5000E-5	9.2773E-3	8.6313E-1
6.6000E-5	9.2773E-3	8.1099E-1
6.7000E-5	9.2773E-3	7.5396E-1
6.8000E-5	9.5215E-3	6.9736E-1
6.9000E-5	9.5215E-3	6.4146E-1
7.0000E-5	1.0010E-2	5.9355E-1
7.1000E-5	1.0010E-2	5.5801E-1
7.2000E-5	9.2773E-3	5.3286E-1
7.3000E-5	1.0254E-2	5.1958E-1
7.4000E-5	9.2773E-3	5.1836E-1
7.5000E-5	1.0010E-2	5.2578E-1
7.6000E-5	9.7656E-3	5.4053E-1
7.7000E-5	1.0254E-2	5.6206E-1
7.8000E-5	9.5215E-3	5.8896E-1
7.9000E-5	9.7656E-3	6.2256E-1
8.0000E-5	9.2773E-3	6.6304E-1
8.1000E-5	9.7656E-3	7.0679E-1
8.2000E-5	9.7656E-3	7.5469E-1
8.3000E-5	9.5215E-3	8.0811E-1
8.4000E-5	9.5215E-3	8.6016E-1
8.5000E-5	1.0254E-2	9.0645E-1
8.6000E-5	9.2773E-3	9.4434E-1
8.7000E-5	9.5215E-3	9.6846E-1
8.8000E-5	9.2773E-3	9.7476E-1
8.9000E-5	1.0010E-2	9.6475E-1
9.0000E-5	9.2773E-3	9.3975E-1
9.1000E-5	9.0332E-3	9.0347E-1
9.2000E-5	9.7656E-3	8.6250E-1
9.3000E-5	9.7656E-3	8.1646E-1
9.4000E-5	1.0010E-2	7.6836E-1
9.5000E-5	9.2773E-3	7.2036E-1
9.6000E-5	9.7656E-3	6.7368E-1
9.7000E-5	9.5215E-3	6.2964E-1
9.8000E-5	9.2773E-3	5.9292E-1
9.9000E-5	1.0010E-2	5.6538E-1
1.0000E-4	1.0254E-2	5.5049E-1
1.0100E-4	1.0010E-2	5.4805E-1
1.0200E-4	9.7656E-3	5.5640E-1
1.0300E-4	9.2773E-3	5.7554E-1
1.0400E-4	9.7656E-3	6.0288E-1
1.0500E-4	9.7656E-3	6.3584E-1
1.0600E-4	1.0254E-2	6.7251E-1
1.0700E-4	9.7656E-3	7.1611E-1
1.0800E-4	9.2773E-3	7.6284E-1
1.0900E-4	1.0010E-2	8.1260E-1
1.1000E-4	9.5215E-3	8.6260E-1
1.1100E-4	9.7656E-3	9.1084E-1
1.1200E-4	9.7656E-3	9.4775E-1
1.1300E-4	1.0010E-2	9.7217E-1
1.1400E-4	9.2773E-3	9.8140E-1
1.1500E-4	9.2773E-3	9.7700E-1
1.1600E-4	9.2773E-3	9.5859E-1
1.1700E-4	1.0010E-2	9.2969E-1
1.1800E-4	1.0010E-2	8.9150E-1
1.1900E-4	9.5215E-3	8.4644E-1
1.2000E-4	9.2773E-3	7.9570E-1
1.2100E-4	1.0010E-2	7.4419E-1
1.2200E-4	1.0010E-2	6.9688E-1
1.2300E-4	9.2773E-3	6.5430E-1
1.2400E-4	9.7656E-3	6.1846E-1
1.2500E-4	1.0010E-2	5.9170E-1
1.2600E-4	1.0010E-2	5.7671E-1
1.2700E-4	9.7656E-3	5.7036E-1
1.2800E-4	9.2773E-3	5.7422E-1
1.2900E-4	9.7656E-3	5.8735E-1
1.3000E-4	1.0010E-2	6.0884E-1
1.3100E-4	9.5215E-3	6.3418E-1
1.3200E-4	9.2773E-3	6.6616E-1
1.3300E-4	9.7656E-3	7.0278E-1
1.3400E-4	9.5215E-3	7.4121E-1
1.3500E-4	9.2773E-3	7.8125E-1
1.3600E-4	1.0254E-2	8.2319E-1
1.3700E-4	9.2773E-3	8.6333E-1
1.3800E-4	9.7656E-3	8.9980E-1
1.3900E-4	1.0010E-2	9.2993E-1
1.4000E-4	1.0010E-2	9.5078E-1
1.4100E-4	1.0010E-2	9.5645E-1
1.4200E-4	1.0254E-2	9.4722E-1
1.4300E-4	1.0498E-2	9.2573E-1
1.4400E-4	9.5215E-3	8.9536E-1
1.4500E-4	9.2773E-3	8.5610E-1
1.4600E-4	9.5215E-3	8.1274E-1
1.4700E-4	9.7656E-3	7.6812E-1
1.4800E-4	9.2773E-3	7.2305E-1
1.4900E-4	9.2773E-3	6.8159E-1
1.5000E-4	9.7656E-3	6.4395E-1
1.5100E-4	1.0010E-2	6.1392E-1
1.5200E-4	9.7656E-3	5.9092E-1
1.5300E-4	9.0332E-3	5.7871E-1
1.5400E-4	9.5215E-3	5.7500E-1
1.5500E-4	1.0254E-2	5.8232E-1
1.5600E-4	9.7656E-3	5.9795E-1
1.5700E-4	1.0010E-2	6.2222E-1
1.5800E-4	9.5215E-3	6.4995E-1
1.5900E-4	9.5215E-3	6.8442E-1
1.6000E-4	1.0010E-2	7.2358E-1
1.6100E-4	9.5215E-3	7.6782E-1
1.6200E-4	9.5215E-3	8.1440E-1
1.6300E-4	1.0010E-2	8.6294E-1
1.6400E-4	1.0010E-2	9.0747E-1
1.6500E-4	9.7656E-3	9.4258E-1
1.6600E-4	9.2773E-3	9.6523E-1
1.6700E-4	9.7656E-3	9.7300E-1
1.6800E-4	9.7656E-3	9.6587E-1
1.6900E-4	9.7656E-3	9.4385E-1
1.7000E-4	9.7656E-3	9.1143E-1
1.7100E-4	1.0010E-2	8.7134E-1
1.7200E-4	9.5215E-3	8.2485E-1
1.7300E-4	9.7656E-3	7.7461E-1
1.7400E-4	1.0010E-2	7.2490E-1
1.7500E-4	9.2773E-3	6.8086E-1
1.7600E-4	9.2773E-3	6.4194E-1
1.7700E-4	9.7656E-3	6.1167E-1
1.7800E-4	9.5215E-3	5.9126E-1
1.7900E-4	9.7656E-3	5.8076E-1
1.8000E-4	9.7656E-3	5.7646E-1
1.8100E-4	1.0010E-2	5.7793E-1
1.8200E-4	1.0254E-2	5.8862E-1
1.8300E-4	1.0254E-2	6.0547E-1
