Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.7656E-3	1.1899E-1
1.0000E-6	9.5215E-3	1.2100E-1
2.0000E-6	1.0254E-2	1.2310E-1
3.0000E-6	9.5215E-3	1.2471E-1
4.0000E-6	9.2773E-3	1.2593E-1
5.0000E-6	9.5215E-3	1.2202E-1
6.0000E-6	1.0254E-2	1.1660E-1
7.0000E-6	9.2773E-3	1.1069E-1
8.0000E-6	1.0010E-2	1.0532E-1
9.0000E-6	9.5215E-3	1.0049E-1
1.0000E-5	1.0010E-2	9.8291E-2
1.1000E-5	9.5215E-3	9.5215E-2
1.2000E-5	9.5215E-3	9.3115E-2
1.3000E-5	9.5215E-3	9.2676E-2
1.4000E-5	9.5215E-3	9.3164E-2
1.5000E-5	9.0332E-3	9.2432E-2
1.6000E-5	1.0010E-2	9.3066E-2
1.7000E-5	9.5215E-3	9.6289E-2
1.8000E-5	9.5215E-3	9.9414E-2
1.9000E-5	9.0332E-3	1.0405E-1
2.0000E-5	9.5215E-3	1.1313E-1
2.1000E-5	1.0010E-2	1.2695E-1
2.2000E-5	9.0332E-3	1.4312E-1
2.3000E-5	9.0332E-3	1.6489E-1
2.4000E-5	1.0010E-2	1.9224E-1
2.5000E-5	1.0010E-2	2.2427E-1
2.6000E-5	1.0010E-2	2.6455E-1
2.7000E-5	9.5215E-3	3.1597E-1
2.8000E-5	1.0010E-2	3.8022E-1
2.9000E-5	9.5215E-3	4.6147E-1
3.0000E-5	9.7656E-3	5.5991E-1
3.1000E-5	9.2773E-3	6.6743E-1
3.2000E-5	9.7656E-3	7.7017E-1
3.3000E-5	1.0254E-2	8.5513E-1
3.4000E-5	1.0010E-2	9.1318E-1
3.5000E-5	1.0010E-2	9.3545E-1
3.6000E-5	9.5215E-3	9.2012E-1
3.7000E-5	1.0010E-2	8.7349E-1
3.8000E-5	1.0010E-2	8.0435E-1
3.9000E-5	9.7656E-3	7.2095E-1
4.0000E-5	9.5215E-3	6.3594E-1
4.1000E-5	9.5215E-3	5.5859E-1
4.2000E-5	9.7656E-3	4.9375E-1
4.3000E-5	9.2773E-3	4.4795E-1
4.4000E-5	9.5215E-3	4.1929E-1
4.5000E-5	1.0010E-2	4.0420E-1
4.6000E-5	9.5215E-3	4.0303E-1
4.7000E-5	9.7656E-3	4.1514E-1
4.8000E-5	9.5215E-3	4.3486E-1
4.9000E-5	9.5215E-3	4.6162E-1
5.0000E-5	9.0332E-3	4.9434E-1
5.1000E-5	9.5215E-3	5.2866E-1
5.2000E-5	9.5215E-3	5.6436E-1
5.3000E-5	9.7656E-3	6.0400E-1
5.4000E-5	1.0010E-2	6.4805E-1
5.5000E-5	9.5215E-3	6.9497E-1
5.6000E-5	9.0332E-3	7.4424E-1
5.7000E-5	9.5215E-3	7.9385E-1
5.8000E-5	9.2773E-3	8.3906E-1
5.9000E-5	1.0010E-2	8.7231E-1
6.0000E-5	9.7656E-3	8.9507E-1
6.1000E-5	9.5215E-3	9.0371E-1
6.2000E-5	9.7656E-3	8.9741E-1
6.3000E-5	9.2773E-3	8.7695E-1
6.4000E-5	9.7656E-3	8.4771E-1
6.5000E-5	9.5215E-3	8.0884E-1
