Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.5215E-3	5.4150E-2
1.0000E-6	9.2773E-3	5.6592E-2
2.0000E-6	8.7891E-3	5.8057E-2
3.0000E-6	9.2773E-3	5.9863E-2
4.0000E-6	9.5215E-3	6.2939E-2
5.0000E-6	9.7656E-3	6.6748E-2
6.0000E-6	9.7656E-3	7.4414E-2
7.0000E-6	9.5215E-3	8.7158E-2
8.0000E-6	9.5215E-3	1.0439E-1
9.0000E-6	9.7656E-3	1.2637E-1
1.0000E-5	9.2773E-3	1.5493E-1
1.1000E-5	9.5215E-3	1.8672E-1
1.2000E-5	9.7656E-3	2.2681E-1
1.3000E-5	9.7656E-3	2.7734E-1
1.4000E-5	9.7656E-3	3.3979E-1
1.5000E-5	9.5215E-3	4.1768E-1
1.6000E-5	9.2773E-3	5.1421E-1
1.7000E-5	9.5215E-3	6.2241E-1
1.8000E-5	9.5215E-3	7.3184E-1
1.9000E-5	9.5215E-3	8.2554E-1
2.0000E-5	1.0010E-2	8.8896E-1
2.1000E-5	9.7656E-3	9.1733E-1
2.2000E-5	9.7656E-3	9.0625E-1
2.3000E-5	9.7656E-3	8.5977E-1
2.4000E-5	9.7656E-3	7.8945E-1
2.5000E-5	9.7656E-3	7.0591E-1
2.6000E-5	9.2773E-3	6.1411E-1
2.7000E-5	1.0010E-2	5.2471E-1
2.8000E-5	1.0254E-2	4.4629E-1
2.9000E-5	1.0010E-2	3.8608E-1
3.0000E-5	9.5215E-3	3.4502E-1
3.1000E-5	9.5215E-3	3.2241E-1
3.2000E-5	9.2773E-3	3.1411E-1
3.3000E-5	9.5215E-3	3.1636E-1
3.4000E-5	9.2773E-3	3.2627E-1
3.5000E-5	9.7656E-3	3.4302E-1
3.6000E-5	9.5215E-3	3.6436E-1
3.7000E-5	9.5215E-3	3.9126E-1
3.8000E-5	9.2773E-3	4.2300E-1
3.9000E-5	9.7656E-3	4.5586E-1
4.0000E-5	1.0010E-2	4.9180E-1
4.1000E-5	1.0010E-2	5.3423E-1
4.2000E-5	9.2773E-3	5.8232E-1
4.3000E-5	9.2773E-3	6.3799E-1
4.4000E-5	9.7656E-3	7.0186E-1
4.5000E-5	1.0010E-2	7.6567E-1
4.6000E-5	9.2773E-3	8.1978E-1
4.7000E-5	9.5215E-3	8.6021E-1
4.8000E-5	9.5215E-3	8.7656E-1
4.9000E-5	9.5215E-3	8.6743E-1
5.0000E-5	1.0254E-2	8.3564E-1
5.1000E-5	9.5215E-3	7.8750E-1
5.2000E-5	9.2773E-3	7.2764E-1
5.3000E-5	9.0332E-3	6.6436E-1
5.4000E-5	9.5215E-3	6.0000E-1
5.5000E-5	9.0332E-3	5.4097E-1
5.6000E-5	9.5215E-3	4.9023E-1
5.7000E-5	9.2773E-3	4.4863E-1
5.8000E-5	9.5215E-3	4.1855E-1
5.9000E-5	9.5215E-3	4.0063E-1
6.0000E-5	9.7656E-3	3.9385E-1
6.1000E-5	1.0010E-2	3.9668E-1
6.2000E-5	9.5215E-3	4.0830E-1
6.3000E-5	9.7656E-3	4.2471E-1
6.4000E-5	9.2773E-3	4.4731E-1
6.5000E-5	8.7891E-3	4.7295E-1
6.6000E-5	9.7656E-3	5.0220E-1
6.7000E-5	1.0010E-2	5.3804E-1
6.8000E-5	1.0010E-2	5.8135E-1
6.9000E-5	9.2773E-3	6.2920E-1
7.0000E-5	1.0010E-2	6.8320E-1
7.1000E-5	9.5215E-3	7.3906E-1
7.2000E-5	9.5215E-3	7.8774E-1
7.3000E-5	9.5215E-3	8.2466E-1
7.4000E-5	9.7656E-3	8.4722E-1
7.5000E-5	9.0332E-3	8.5000E-1
7.6000E-5	9.2773E-3	8.3804E-1
7.7000E-5	9.2773E-3	8.1152E-1
7.8000E-5	9.5215E-3	7.7393E-1
7.9000E-5	9.7656E-3	7.2837E-1
8.0000E-5	9.7656E-3	6.7803E-1
8.1000E-5	9.7656E-3	6.2373E-1
8.2000E-5	1.0010E-2	5.7324E-1
8.3000E-5	9.5215E-3	5.2783E-1
8.4000E-5	9.7656E-3	4.9009E-1
8.5000E-5	1.0498E-2	4.6338E-1
8.6000E-5	9.2773E-3	4.4644E-1
8.7000E-5	9.5215E-3	4.3867E-1
8.8000E-5	9.5215E-3	4.3848E-1
8.9000E-5	1.0010E-2	4.4541E-1
9.0000E-5	9.7656E-3	4.5708E-1
9.1000E-5	1.0254E-2	4.7217E-1
9.2000E-5	9.0332E-3	4.8970E-1
9.3000E-5	9.7656E-3	5.1362E-1
9.4000E-5	9.2773E-3	5.4077E-1
9.5000E-5	1.0010E-2	5.7578E-1
