Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.7656E-3	-4.7461E-2
1.0000E-6	9.2773E-3	-5.1270E-2
2.0000E-6	9.5215E-3	-5.5371E-2
3.0000E-6	1.0010E-2	-5.8252E-2
4.0000E-6	9.5215E-3	-5.8740E-2
5.0000E-6	9.5215E-3	-5.7959E-2
6.0000E-6	1.0010E-2	-5.6543E-2
7.0000E-6	9.5215E-3	-5.3516E-2
8.0000E-6	1.0010E-2	-5.2393E-2
9.0000E-6	9.5215E-3	-5.1123E-2
1.0000E-5	9.7656E-3	-5.0195E-2
1.1000E-5	1.0254E-2	-5.0098E-2
1.2000E-5	9.2773E-3	-5.1367E-2
1.3000E-5	1.0010E-2	-4.9902E-2
1.4000E-5	9.2773E-3	-4.7510E-2
1.5000E-5	9.5215E-3	-4.3848E-2
1.6000E-5	9.5215E-3	-4.0430E-2
1.7000E-5	9.7656E-3	-3.6621E-2
1.8000E-5	9.0332E-3	-3.4766E-2
1.9000E-5	9.7656E-3	-3.0615E-2
2.0000E-5	9.7656E-3	-2.2412E-2
2.1000E-5	8.7891E-3	-7.6660E-3
2.2000E-5	9.2773E-3	1.3232E-2
2.3000E-5	1.0498E-2	4.3604E-2
2.4000E-5	1.0010E-2	8.2520E-2
2.5000E-5	8.7891E-3	1.2803E-1
2.6000E-5	9.7656E-3	1.8135E-1
2.7000E-5	9.5215E-3	2.4795E-1
2.8000E-5	1.0010E-2	3.3047E-1
2.9000E-5	9.7656E-3	4.3066E-1
3.0000E-5	9.7656E-3	5.4829E-1
3.1000E-5	9.7656E-3	6.7153E-1
3.2000E-5	9.2773E-3	7.8276E-1
3.3000E-5	1.0010E-2	8.6265E-1
3.4000E-5	1.0010E-2	9.0039E-1
3.5000E-5	9.7656E-3	8.8667E-1
3.6000E-5	9.2773E-3	8.2837E-1
3.7000E-5	9.7656E-3	7.3735E-1
3.8000E-5	9.5215E-3	6.3149E-1
3.9000E-5	9.0332E-3	5.2104E-1
4.0000E-5	9.7656E-3	4.1958E-1
4.1000E-5	1.0010E-2	3.3418E-1
4.2000E-5	9.7656E-3	2.6953E-1
4.3000E-5	1.0254E-2	2.2427E-1
4.4000E-5	9.5215E-3	1.9814E-1
4.5000E-5	9.7656E-3	1.8799E-1
4.6000E-5	1.0254E-2	1.9146E-1
4.7000E-5	1.0254E-2	2.0435E-1
4.8000E-5	1.0498E-2	2.2607E-1
4.9000E-5	9.7656E-3	2.5190E-1
5.0000E-5	9.5215E-3	2.8364E-1
5.1000E-5	9.7656E-3	3.1997E-1
5.2000E-5	9.5215E-3	3.6279E-1
5.3000E-5	9.0332E-3	4.0962E-1
5.4000E-5	9.7656E-3	4.6670E-1
5.5000E-5	1.0010E-2	5.3232E-1
5.6000E-5	9.5215E-3	6.0581E-1
5.7000E-5	9.7656E-3	6.8271E-1
5.8000E-5	9.7656E-3	7.6035E-1
5.9000E-5	9.7656E-3	8.2285E-1
6.0000E-5	1.0498E-2	8.6177E-1
6.1000E-5	8.5449E-3	8.7480E-1
6.2000E-5	9.5215E-3	8.5776E-1
6.3000E-5	1.0498E-2	8.0986E-1
